csv_row,csv_file_name,resolved_file_name,file_match_method,status,section_method,matched,not_matched,missing,total_items,missing_processor_values,missing_processor_description_values
21,HP AlphaServer DS25 HP AlphaStation DS25 c04281756.pdf,HP AlphaServer DS25 HP AlphaStation DS25 c04281756.pdf,exact,OK,header,2,0,0,2,,
22,HPE ProLiant DX385 Gen10 Plus Server QuickSpecs_20260522113215.pdf,HPE ProLiant DX385 Gen10 Plus Server QuickSpecs_20260522113215.pdf,exact,OK,header,25,0,0,25,,
23,HP ProLiant BL45p Server Blade c04140791.pdf,HP ProLiant BL45p Server Blade c04140791.pdf,exact,OK,header,12,0,0,12,,
24,hp AlphaServer GS80 (1001 MHz) c04282778.pdf,hp AlphaServer GS80 (1001 MHz) c04282778.pdf,exact,OK,fallback,2,0,0,2,,
25,HPE Cray Supercomputing XD670 a50004292enw.pdf,HPE Cray Supercomputing XD670 a50004292enw.pdf,exact,OK,header,17,0,0,17,,
26,HPE ProLiant XL750f Gen9 Server QuickSpecs_20260522113438.pdf,HPE ProLiant XL750f Gen9 Server QuickSpecs_20260522113438.pdf,exact,OK,header,42,0,0,42,,
27,HP ProLiant BL280c Generation 6 (G6) Server Blade c04282684.pdf,HP ProLiant BL280c Generation 6 (G6) Server Blade c04282684.pdf,exact,OK,header,41,0,0,41,,
28,HPE ProLiant SL270s Generation 8 (Gen8) c04123204.pdf,HPE ProLiant SL270s Generation 8 (Gen8) c04123204.pdf,exact,OK,header,41,0,0,41,,
29,HPE Compute Edge Server e920d QuickSpecs_20260522113139.pdf,HPE Compute Edge Server e920d QuickSpecs_20260522113139.pdf,exact,OK,header,37,0,0,37,,
30,HPE ProLiant Compute DL580 Gen12 data sheet-PSN1014891571WWEN.pdf,HPE ProLiant Compute DL580 Gen12 data sheet-PSN1014891571WWEN.pdf,exact,OK,header,25,7,0,32,,
31,HPE Cray XD2000 QuickSpecs_20260522113053.pdf,HPE Cray XD2000 QuickSpecs_20260522113053.pdf,exact,OK,header,171,0,0,171,,
32,HP ProLiant ML110 Generation 6 (G6) c04282718.pdf,HP ProLiant ML110 Generation 6 (G6) c04282718.pdf,exact,OK,header,19,0,0,19,,
33,HPE ProLiant Compute DL360 Gen12 QuickSpecs_20260522113042.pdf,HPE ProLiant Compute DL360 Gen12 QuickSpecs_20260522113042.pdf,exact,OK,header,9,1,0,10,,
34,Compaq AlphaServer DS20 (Linux Ready) c04282236.pdf,Compaq AlphaServer DS20 (Linux Ready) c04282236.pdf,exact,OK,fallback,2,0,0,2,,
35,HP ProLiant DL320s c04282520.pdf,HP ProLiant DL320s c04282520.pdf,exact,OK,header,3,0,0,3,,
36,HPE ProLiant DL120 Generation9 Gen9 QuickSpecs_20260522113603.pdf,HPE ProLiant DL120 Generation9 Gen9 QuickSpecs_20260522113603.pdf,exact,OK,header,67,0,0,67,,
37,HP ProLiant ML310 Generation 5 (G5) c04284260.pdf,HP ProLiant ML310 Generation 5 (G5) c04284260.pdf,exact,OK,header,42,0,6,48,,"Intel Xeon processor X3320, X3330, E3110 and E3120.4 MB L2 Cache | Intel Xeon processor X3220 and X3210.6 MB L2 Cache | Intel Xeon processor 3075 and 3065.2 MB L2 Cache | Intel Pentium processor E2160.512 KB L2 Cache | Intel Core2 processor E4600.1 MB L2 Cache | Standard-Xeon 3075 and512 MB (1 x 512 MB)"
38,HP ProLiant BL465c Server Blade c04140691.pdf,HP ProLiant BL465c Server Blade c04140691.pdf,exact,OK,header,29,1,0,30,,
39,HPE ProLiant DL380 Gen10 Plus Server QuickSpecs_20260522112959.pdf,HPE ProLiant DL380 Gen10 Plus Server QuickSpecs_20260522112959.pdf,exact,OK,header,71,0,0,71,,
40,HP ProLiant ML310 Generation 5p (G5p) c04284357.pdf,HP ProLiant ML310 Generation 5p (G5p) c04284357.pdf,exact,OK,header,19,0,2,21,,Intel Pentium processor E2160.512 KB L2 Cache | Intel Core2 processor E6400.1 MB L2 Cache
41,HP ProLiant ML310 Generation 2 (G2) c04284154.pdf,HP ProLiant ML310 Generation 2 (G2) c04284154.pdf,exact,OK,header,4,0,0,4,,
42,HP ProLiant BL20p Generation 4 (G4) Server Blade c04284199.pdf,HP ProLiant BL20p Generation 4 (G4) Server Blade c04284199.pdf,exact,OK,header,30,0,0,30,,
43,HP AlphaServer DS15A HP AlphaStation DS15A c04283042.pdf,HP AlphaServer DS15A HP AlphaStation DS15A c04283042.pdf,exact,OK,header,3,0,0,3,,
44,HPE ProLiant ML310e Generation 8 Gen8 v2  North America version QuickSpecs_20260522113825.pdf,HPE ProLiant ML310e Generation 8 Gen8 v2  North America version QuickSpecs_20260522113825.pdf,exact,OK,header,18,0,0,18,,
45,HPE ProLiant DL325 Gen10 Server QuickSpecs_20260522113412.pdf,HPE ProLiant DL325 Gen10 Server QuickSpecs_20260522113412.pdf,exact,OK,header,28,0,0,28,,
46,HP ProLiant SL160z Generation 6 (G6) c04284459.pdf,HP ProLiant SL160z Generation 6 (G6) c04284459.pdf,exact,OK,header,46,0,0,46,,
47,HP ProLiant ML330 Generation 6 QuickSpecs_20260522113744.pdf,HP ProLiant ML330 Generation 6 QuickSpecs_20260522113744.pdf,exact,OK,header,12,0,0,12,,
48,Compaq ProLiant 5500 Pentium II Xeon Models QuickSpecs_20260522113546.pdf,Compaq ProLiant 5500 Pentium II Xeon Models QuickSpecs_20260522113546.pdf,exact,OK,fallback,5,0,0,5,,
49,HP ProLiant DL365 c04282518.pdf,HP ProLiant DL365 c04282518.pdf,exact,OK,header,29,1,0,30,,
50,HP ProLiant BL260c Generation 5 Server Blade c04284279.pdf,HP ProLiant BL260c Generation 5 Server Blade c04284279.pdf,exact,OK,header,40,0,1,41,,"Intel Xeon® 5000 sequence processors DA - 13026 Worldwide-Version 16-October 9, 2009"
51,HP ProLiant DL120 Generation 6 c04123273.pdf,HP ProLiant DL120 Generation 6 c04123273.pdf,exact,OK,header,21,0,0,21,,
52,HPE ProLiant DL325 Gen10 Plus Server QuickSpecs_20260522113513.pdf,HPE ProLiant DL325 Gen10 Plus Server QuickSpecs_20260522113513.pdf,exact,OK,header,41,0,0,41,,
53,Compaq ProLiant ML330 and ML330e QuickSpecs_20260522113426.pdf,Compaq ProLiant ML330 and ML330e QuickSpecs_20260522113426.pdf,exact,OK,fallback,3,0,0,3,,
54,HP ProLiant SL170s Generation 6 (G6) c04284855.pdf,HP ProLiant SL170s Generation 6 (G6) c04284855.pdf,exact,OK,header,38,0,0,38,,
55,HP ProLiant BL460c Generation 5 Server Blade QuickSpecs_20260522113437.pdf,HP ProLiant BL460c Generation 5 Server Blade QuickSpecs_20260522113437.pdf,exact,OK,header,10,0,0,10,,
56,HP ProLiant BL25p Generation G2 Server Blade c04282519.pdf,HP ProLiant BL25p Generation G2 Server Blade c04282519.pdf,exact,OK,header,22,0,1,23,,"Supports both standard (95W) and low power (68W) versions of AMD Opteron 2000 series processors Processors are connected through 1 GHz HyperTransport™ links DA - 12569 Worldwide-Version 10-December 14, 2007"
57,Compaq AlphaServer ES40 Compaq AlphaStation ES40 (Linux Ready) c04282380.pdf,Compaq AlphaServer ES40 Compaq AlphaStation ES40 (Linux Ready) c04282380.pdf,exact,OK,fallback,2,0,0,2,,
58,HPE ProLiant DL560 Gen11 QuickSpecs_20260522113006.pdf,HPE ProLiant DL560 Gen11 QuickSpecs_20260522113006.pdf,exact,OK,header,41,0,0,41,,
59,HPE Integrity BL870c i6 Server Blade QuickSpecs_20260522113739.pdf,HPE Integrity BL870c i6 Server Blade QuickSpecs_20260522113739.pdf,exact,OK,header,11,0,0,11,,
60,Compaq ProLiant ML530 QuickSpecs_20260522113704.pdf,Compaq ProLiant ML530 QuickSpecs_20260522113704.pdf,exact,OK,fallback,1,0,0,1,,
61,HP ProLiant BL490c Generation 7 (G7) Server Blade c04284877.pdf,HP ProLiant BL490c Generation 7 (G7) Server Blade c04284877.pdf,exact,OK,header,19,0,0,19,,
62,HP ProLiant ML115 Generation 5 c04282645.pdf,HP ProLiant ML115 Generation 5 c04282645.pdf,exact,OK,header,12,0,0,12,,
63,HPE Cloudline CL5800 Gen10 Server QuickSpecs_20260522113527.pdf,HPE Cloudline CL5800 Gen10 Server QuickSpecs_20260522113527.pdf,exact,OK,header,19,0,0,19,,
64,HP ProLiant BL460c Generation 7 (G7) Server Blade c04123266.pdf,HP ProLiant BL460c Generation 7 (G7) Server Blade c04123266.pdf,exact,OK,header,29,0,0,29,,
65,HPE ProLiant DL580 Gen8  North America version QuickSpecs_20260522113526.pdf,HPE ProLiant DL580 Gen8  North America version QuickSpecs_20260522113526.pdf,exact,OK,header,32,0,0,32,,
66,HP ProLiant ML570 Generation 2 QuickSpecs_20260522113427.pdf,HP ProLiant ML570 Generation 2 QuickSpecs_20260522113427.pdf,exact,OK,header,7,0,0,7,,
67,HPE ProLiant DL320 Gen11 QuickSpecs_20260522113119.pdf,HPE ProLiant DL320 Gen11 QuickSpecs_20260522113119.pdf,exact,OK,header,90,0,0,90,,
68,HP ProLiant SL390s Generation 7 (G7) North America version c04128190.pdf,HP ProLiant SL390s Generation 7 (G7) North America version c04128190.pdf,exact,OK,header,17,1,0,18,,
69,HP AlphaServer GS1280 Systems c04283156.pdf,HP AlphaServer GS1280 Systems c04283156.pdf,exact,OK,header,2,0,0,2,,
70,HPE Compute Scale-up Server 3250 QuickSpecs_20260522113027.pdf,HPE Compute Scale-up Server 3250 QuickSpecs_20260522113027.pdf,exact,OK,header,11,1,0,12,,
71,HP ProLiant BL10e Generation 2 (G2) Server Blade c04373936.pdf,HP ProLiant BL10e Generation 2 (G2) Server Blade c04373936.pdf,exact,OK,header,3,0,0,3,,
72,HP 9000 rp7440 Server c04140237.pdf,HP 9000 rp7440 Server c04140237.pdf,exact,OK,header,1,0,0,1,,
73,HPE ProLiant XL730f Gen9 Server QuickSpecs_20260522113354.pdf,HPE ProLiant XL730f Gen9 Server QuickSpecs_20260522113354.pdf,exact,OK,header,20,0,0,20,,
74,HP ProLiant DL2000 Multi Node Server c04154349.pdf,HP ProLiant DL2000 Multi Node Server c04154349.pdf,exact,OK,header,23,0,0,23,,
75,HPE ProLiant ML350 Gen10 Server QuickSpecs_20260522113156.pdf,HPE ProLiant ML350 Gen10 Server QuickSpecs_20260522113156.pdf,exact,OK,header,67,0,0,67,,
76,HP ProLiant DL785 Generation 6 (G6) c04284472.pdf,HP ProLiant DL785 Generation 6 (G6) c04284472.pdf,exact,OK,header,7,0,0,7,,
77,HP Integrity rx2620 Server c04140857.pdf,HP Integrity rx2620 Server c04140857.pdf,exact,OK,header,4,7,1,12,,"Single-core Intel Itanium 2 Processor 130W @ 85% max ½ I/O CCA @ 25W and ½ I/O CCAs @ 15W 2 GB DIMMs Typical power usage Three hard disk drives No CD ROM DA - 12141 Worldwide-Version 30-June 1, 2007"
78,HP Integrity rx8640 Server c04140723.pdf,HP Integrity rx8640 Server c04140723.pdf,exact,OK,header,21,4,2,27,8620 | 8640,
79,HHP ProLiant DL160se Generation 6 (G6) c04284464.pdf,HHP ProLiant DL160se Generation 6 (G6) c04284464.pdf,exact,OK,header,19,0,0,19,,
80,HP ProLiant ML310 Generation 4 c04284218.pdf,HP ProLiant ML310 Generation 4 c04284218.pdf,exact,OK,header,18,0,0,18,,
81,HP ProLiant BL20p Generation 3 (G3) Server Blade c04283141.pdf,HP ProLiant BL20p Generation 3 (G3) Server Blade c04283141.pdf,exact,OK,header,12,0,0,12,,
82,HPE Apollo 4510 Gen10 System QuickSpecs_20260522113259.pdf,HPE Apollo 4510 Gen10 System QuickSpecs_20260522113259.pdf,exact,OK,header,50,0,0,50,,
83,HPE ProLiant DL345 Gen11 QuickSpecs_20260522113050.pdf,HPE ProLiant DL345 Gen11 QuickSpecs_20260522113050.pdf,exact,OK,header,39,0,0,39,,
84,Compaq ProLiant 7000 Pentium III Xeon Models QuickSpecs_20260522113252.pdf,Compaq ProLiant 7000 Pentium III Xeon Models QuickSpecs_20260522113252.pdf,exact,OK,fallback,4,1,0,5,,
85,HPE ProLiant Compute XD685 QuickSpecs_20260522113043.pdf,HPE ProLiant Compute XD685 QuickSpecs_20260522113043.pdf,exact,OK,header,27,0,0,27,,
86,HPE ProLiant XL2x260w Server QuickSpecs_20260522113539.pdf,HPE ProLiant XL2x260w Server QuickSpecs_20260522113539.pdf,exact,OK,header,17,0,0,17,,
87,HP ProLiant DL365 Generation 5 (G5) c04282612.pdf,HP ProLiant DL365 Generation 5 (G5) c04282612.pdf,exact,OK,header,15,0,0,15,,
88,HP ProLiant BL685c Generation 5 Server Blade c04282648.pdf,HP ProLiant BL685c Generation 5 Server Blade c04282648.pdf,exact,OK,header,15,0,0,15,,
89,HP ProLiant DL180 Generation 5 c04284266.pdf,HP ProLiant DL180 Generation 5 c04284266.pdf,exact,OK,header,19,0,0,19,,
90,HP ProLiant DL360 Generation 3 c04283959.pdf,HP ProLiant DL360 Generation 3 c04283959.pdf,exact,OK,header,10,0,0,10,,
91,HP ProLiant BL460c Generation 6 Server Blade QuickSpecs_20260522113503.pdf,HP ProLiant BL460c Generation 6 Server Blade QuickSpecs_20260522113503.pdf,exact,OK,header,36,0,0,36,,
92,HP ProLiant BL10e e Class Server Blade c04282846.pdf,HP ProLiant BL10e e Class Server Blade c04282846.pdf,exact,OK,header,2,0,0,2,,
93,HP ProLiant XL740f Server  North America version QuickSpecs_20260522113433.pdf,HP ProLiant XL740f Server  North America version QuickSpecs_20260522113433.pdf,exact,OK,header,22,0,0,22,,
94,HPE ProLiant DL365 Gen11 QuickSpecs_20260522113030.pdf,HPE ProLiant DL365 Gen11 QuickSpecs_20260522113030.pdf,exact,OK,header,39,0,0,39,,
95,HPE ProLiant e910t Server Blade QuickSpecs_20260522113353.pdf,HPE ProLiant e910t Server Blade QuickSpecs_20260522113353.pdf,exact,OK,header,35,0,0,35,,
96,HP ProLiant DL785 Generation 5 (G5) c04284295.pdf,HP ProLiant DL785 Generation 5 (G5) c04284295.pdf,exact,OK,header,15,0,0,15,,
97,HPE ProLiant MicroServer Generation 8 Gen8 QuickSpecs_20260522113759.pdf,HPE ProLiant MicroServer Generation 8 Gen8 QuickSpecs_20260522113759.pdf,exact,OK,header,9,0,0,9,,
98,Compaq ProLiant 8500 Data Center Solution QuickSpecs_20260522113509.pdf,Compaq ProLiant 8500 Data Center Solution QuickSpecs_20260522113509.pdf,exact,OK,fallback,3,0,0,3,,
99,HP Integrity BL870c i2 Server Blade c04111682.pdf,HP Integrity BL870c i2 Server Blade c04111682.pdf,exact,OK,header,11,0,0,11,,
100,HPE Synergy 480 Gen11 Compute Module QuickSpecs_20260522113003.pdf,HPE Synergy 480 Gen11 Compute Module QuickSpecs_20260522113003.pdf,exact,OK,header,107,0,0,107,,
101,HPE ProLiant DL20 Gen11 QuickSpecs_20260522113052.pdf,HPE ProLiant DL20 Gen11 QuickSpecs_20260522113052.pdf,exact,OK,header,18,0,0,18,,
102,HPE ProLiant ML30 Gen9 Server QuickSpecs_20260522113246.pdf,HPE ProLiant ML30 Gen9 Server QuickSpecs_20260522113246.pdf,exact,OK,header,16,1,0,17,,
103,HPE ProLiant DL160 Generation 8 (Gen8) c04123162.pdf,HPE ProLiant DL160 Generation 8 (Gen8) c04123162.pdf,exact,OK,fallback,25,0,1,26,,E5-2600 Series processors 3.1 GbE LAN port for NIC 1 (RJ-45)
104,HP ProLiant DL585 Generation 2 G2 QuickSpecs_20260522113540.pdf,HP ProLiant DL585 Generation 2 G2 QuickSpecs_20260522113540.pdf,exact,OK,header,25,0,0,25,,
105,HPE ProLiant DL360 Gen9 Server QuickSpecs_20260522113714.pdf,HPE ProLiant DL360 Gen9 Server QuickSpecs_20260522113714.pdf,exact,OK,header,97,1,0,98,,
106,HP Server tc2120 c04282906.pdf,HP Server tc2120 c04282906.pdf,exact,OK,header,4,0,0,4,,
107,HP ProLiant DL185 Generation 5 c04284263.pdf,HP ProLiant DL185 Generation 5 c04284263.pdf,exact,OK,header,24,0,0,24,,
108,HP ProLiant DL160 Generation 8 (Gen8) North America version c04128229.pdf,HP ProLiant DL160 Generation 8 (Gen8) North America version c04128229.pdf,exact,OK,header,26,0,1,27,,E5-2600 Series processors 3.1 GbE LAN port for NIC 1 (RJ-45)
109,HPE Cloudline CL4100 Gen10 Server QuickSpecs_20260522113307.pdf,HPE Cloudline CL4100 Gen10 Server QuickSpecs_20260522113307.pdf,exact,OK,header,42,0,0,42,,
110,HP ProLiant SL165s Generation 7 (G7) c04284859.pdf,HP ProLiant SL165s Generation 7 (G7) c04284859.pdf,exact,OK,header,14,0,0,14,,
111,HP ProLiant DL385 Generation 6 G6 QuickSpecs_20260522113430.pdf,HP ProLiant DL385 Generation 6 G6 QuickSpecs_20260522113430.pdf,exact,OK,header,8,0,0,8,,
112,HPE Apollo 6500 Gen10 System QuickSpecs_20260522113725.pdf,HPE Apollo 6500 Gen10 System QuickSpecs_20260522113725.pdf,exact,OK,header,89,0,0,89,,
113,HPE Cray XD670 QuickSpecs_20260522113045.pdf,HPE Cray XD670 QuickSpecs_20260522113045.pdf,exact,OK,header,35,0,0,35,,
114,HP ProLiant DL140 Generation 3 c04282505.pdf,HP ProLiant DL140 Generation 3 c04282505.pdf,exact,OK,header,33,0,0,33,,
115,HP ProLiant DL320 Generation 4 G4 QuickSpecs_20260522113236.pdf,HP ProLiant DL320 Generation 4 G4 QuickSpecs_20260522113236.pdf,exact,OK,header,13,0,0,13,,
116,HP ProLiant ML310 QuickSpecs_20260522113658.pdf,HP ProLiant ML310 QuickSpecs_20260522113658.pdf,exact,OK,header,3,0,0,3,,
117,HP ProLiant DL380 Generation 3 G3 Packaged Cluster with MSA500 QuickSpecs_20260522113431.pdf,HP ProLiant DL380 Generation 3 G3 Packaged Cluster with MSA500 QuickSpecs_20260522113431.pdf,exact,OK,header,2,0,0,2,,
118,Compaq ProLiant DL580 c04282278.pdf,Compaq ProLiant DL580 c04282278.pdf,exact,OK,fallback,4,0,0,4,,
119,HP ProLiant BL2x220c Generation 6 (G6) Server Blade c04282720.pdf,HP ProLiant BL2x220c Generation 6 (G6) Server Blade c04282720.pdf,exact,OK,header,38,0,0,38,,
120,HPE Cloudline CL2600 Gen10 Server QuickSpecs_20260522113451.pdf,HPE Cloudline CL2600 Gen10 Server QuickSpecs_20260522113451.pdf,exact,OK,header,90,0,0,90,,
121,HP ProLiant SL160s Generation 6 c04284546.pdf,HP ProLiant SL160s Generation 6 c04284546.pdf,exact,OK,header,28,0,0,28,,
122,HP Integrity BL870c Server Blade c04140528.pdf,HP Integrity BL870c Server Blade c04140528.pdf,exact,OK,header,2,0,0,2,,
123,HP ProLiant DL320 Generation 3 (G3) c04283226.pdf,HP ProLiant DL320 Generation 3 (G3) c04283226.pdf,exact,OK,header,8,0,0,8,,
124,HP ProLiant ML370 Generation 3 c04281761.pdf,HP ProLiant ML370 Generation 3 c04281761.pdf,exact,OK,header,4,0,0,4,,
125,HP ProLiant ML310 Generation 3 (G3) c04284178.pdf,HP ProLiant ML310 Generation 3 (G3) c04284178.pdf,exact,OK,header,8,0,0,8,,
126,HPE ProLiant DX170r Gen10 Server QuickSpecs_20260522113803.pdf,HPE ProLiant DX170r Gen10 Server QuickSpecs_20260522113803.pdf,exact,OK,header,41,0,0,41,,
127,HP ProLiant ML150 Generation 2 (G2) c04283204.pdf,HP ProLiant ML150 Generation 2 (G2) c04283204.pdf,exact,OK,header,9,0,0,9,,
128,HP ProLiant ML350 Generation 6 (G6) c04200238.pdf,HP ProLiant ML350 Generation 6 (G6) c04200238.pdf,exact,OK,header,38,0,0,38,,
129,HP ProLiant DL385 QuickSpecs_20260522113414.pdf,HP ProLiant DL385 QuickSpecs_20260522113414.pdf,exact,OK,header,11,0,0,11,,
130,HPE Integrity rx2800 i4 Server c04111437.pdf,HPE Integrity rx2800 i4 Server c04111437.pdf,exact,OK,header,3,2,4,9,,Intel® Itanium® 95204-core 1.73 GHz / 20 MB (L3) 130W Key features | Intel® Itanium® 95408-core 2.13 GHz / 24 MB (L3) 170W | Intel® Itanium® 95608-core 2.53 GHz / 32 MB (L3) 170W | Intel® Itanium® 95504-core 2.4 GHz / 32 MB (L3) 170W
131,HPE ProLiant Compute DL345 Gen12 QuickSpecs_20260522113055.pdf,HPE ProLiant Compute DL345 Gen12 QuickSpecs_20260522113055.pdf,exact,OK,header,58,0,0,58,,
132,HPE ProLiant XL170r Gen10 Server QuickSpecs_20260522113621.pdf,HPE ProLiant XL170r Gen10 Server QuickSpecs_20260522113621.pdf,exact,OK,header,107,0,0,107,,
133,HPE ProLiant Compute DL580 Gen12 QuickSpecs_20260522113005.pdf,HPE ProLiant Compute DL580 Gen12 QuickSpecs_20260522113005.pdf,exact,OK,header,25,7,0,32,,
134,HPE Alletra Storage Server 4120 QuickSpecs_20260522113011.pdf,HPE Alletra Storage Server 4120 QuickSpecs_20260522113011.pdf,exact,OK,header,91,0,0,91,,
135,HPE ProLiant DX4200 Gen10 server QuickSpecs_20260522113811.pdf,HPE ProLiant DX4200 Gen10 server QuickSpecs_20260522113811.pdf,exact,OK,header,18,0,0,18,,
136,HPE GL20 IoT Gateway Series QuickSpecs_20260522113342.pdf,HPE GL20 IoT Gateway Series QuickSpecs_20260522113342.pdf,exact,OK,header,3,0,0,3,,
137,HPE ProLiant BL660c Gen8 Server Blade North America version c04128116.pdf,HPE ProLiant BL660c Gen8 Server Blade North America version c04128116.pdf,exact,OK,header,21,0,0,21,,
138,HPE ProLiant DL380 Generation9 Gen9 Carrier Grade Supplement QuickSpecs_20260522113728.pdf,HPE ProLiant DL380 Generation9 Gen9 Carrier Grade Supplement QuickSpecs_20260522113728.pdf,exact,OK,header,40,0,0,40,,
139,HPE ProLiant ML10 Generation9 Gen9 QuickSpecs_20260522113217.pdf,HPE ProLiant ML10 Generation9 Gen9 QuickSpecs_20260522113217.pdf,exact,OK,header,5,0,0,5,,
140,HPE ProLiant DL20 Gen10 Server QuickSpecs_20260522113730.pdf,HPE ProLiant DL20 Gen10 Server QuickSpecs_20260522113730.pdf,exact,OK,header,8,0,0,8,,
141,HPE Cray Supercomputers QuickSpecs_20260522113137.pdf,HPE Cray Supercomputers QuickSpecs_20260522113137.pdf,exact,OK,header,7,0,0,7,,
142,HPE ProLiant MicroServer Gen10 QuickSpecs_20260522113624.pdf,HPE ProLiant MicroServer Gen10 QuickSpecs_20260522113624.pdf,exact,OK,header,7,0,0,7,,
143,HPE ProLiant DX380 Gen10 Server QuickSpecs_20260522113805.pdf,HPE ProLiant DX380 Gen10 Server QuickSpecs_20260522113805.pdf,exact,OK,header,99,0,0,99,,
144,HPE ProLiant DL580 Gen10 Server QuickSpecs_20260522113514.pdf,HPE ProLiant DL580 Gen10 Server QuickSpecs_20260522113514.pdf,exact,OK,header,140,0,0,140,,
145,HP ProLiant DL360 Generation 6 G6 Carrier Grade Supplement QuickSpecs_20260522113530.pdf,HP ProLiant DL360 Generation 6 G6 Carrier Grade Supplement QuickSpecs_20260522113530.pdf,exact,OK,header,6,0,0,6,,
146,Compaq ProLiant 5500 Pentium III Xeon Models QuickSpecs_20260522113345.pdf,Compaq ProLiant 5500 Pentium III Xeon Models QuickSpecs_20260522113345.pdf,exact,OK,fallback,5,0,0,5,,
147,"HP AlphaServerAlphaStation ES47 Tower, AlphaServer ES47, and AlphaServer ES80 Systems c04324523.pdf","HP AlphaServerAlphaStation ES47 Tower, AlphaServer ES47, and AlphaServer ES80 Systems c04324523.pdf",exact,OK,header,2,0,0,2,,
148,HP ProLiant DL145 Generation 3 (G3) c04282537.pdf,HP ProLiant DL145 Generation 3 (G3) c04282537.pdf,exact,OK,header,17,0,0,17,,
149,Compaq ProLiant 8000 QuickSpecs_20260522113348.pdf,Compaq ProLiant 8000 QuickSpecs_20260522113348.pdf,exact,OK,fallback,2,0,0,2,,
150,HP ProLiant ML110 G2 c04283222.pdf,HP ProLiant ML110 G2 c04283222.pdf,exact,OK,header,8,0,0,8,,
151,Compaq Prosignia 720 Pentium II Models c04375384.pdf,Compaq Prosignia 720 Pentium II Models c04375384.pdf,exact,OK,fallback,2,0,0,2,,
