processor,processor_description,file_name
"['8222', '8347HE', '8218', '8216', '8220', '8218HE', '8354', '8214']","['AMD Opteron 8200 Series processors Supports up to 3.0 GHz,1 GHz HyperTransport™; 1MB Level 2 cache memory per core', 'AMD Opteron processor Model 8218 HE (2.6 GHz, 68W) Processor Option Kit 440936-B21', 'AMD Opteron processor Model 8214 (2.2 GHz, 95W) Option Kit 409611-B21', 'AMD Opteron processor Model 8216 (2.4 GHz, 95W)', 'AMD Opteron processor Model 8222 (3.0 GHz, 95W) Processor Option Kit 454907-B21', 'AMD Opteron processor Model 8218 (2.6 GHz, 95W) Option Kit, FIO Base 409613-L21', 'AMD Opteron processors Model 8216 (2.4 GHz) (2)', 'AMD Opteron processor Model 8354 (2.2 GHz, 75W ACP) Processor Option Kit 447978-B21', 'AMD Opteron processor Model 8214 (2.2 GHz, 95W) Processor Option Kit 409611-B21', 'AMD Opteron processor Model 8218 (2.6 GHz, 95W) Option Kit 409613-B21', 'AMD Opteron processor Model 8214 (2.2 GHz, 95W) Low Power', 'AMD Opteron 8200 series processors are 64-bit, dual-core, and support AMD Virtualization™.', 'AMD Opteron processor Model 8216 (2.4 GHz, 95W) Option Kit 409612-B21', 'AMD Opteron processor Model 8347 HE (1.9 GHz, 55W ACP) Processor Option Kit 456908-B21', 'AMD Opteron processor Model 8220 (2.8 GHz, 95W) Option Kit, FIO Base 438820-L21', 'AMD Opteron processor Model 8214 (2.2 GHz, 95W) Option Kit, FIO Base 409611-L21', 'AMD Opteron processor Model 8216 (2.4 GHz, 95W) Processor Option Kit 409612-B21', 'AMD Opteron processor Model 8222 (3.0 GHz, 95W) Option Kit, FIO Base 454907-L21', 'AMD Opteron processor Model 8218 HE (2.6 GHz, 68W) Option Kit 440936-B21', 'AMD Opteron processor Model 8222 (3.0 GHz, 95W) Option Kit 454907-B21', 'AMD Opteron processor Model 8220 (2.8 GHz, 95W) Option Kit 438820-B21', 'AMD Opteron processors Model 8218 (2.6 GHz) (2)', 'AMD Opteron processor Model 8220 (2.8 GHz, 95W) Processor Option Kit 438820-B21', 'AMD Opteron processor Model 8354 (2.2 GHz, 75W ACP) †', 'AMD Opteron processor Model 8220 (2.8 GHz, 95W)', 'AMD Opteron processors Model 8214 (2.2 GHz)', 'AMD Opteron processor Model 8218 HE (2.6 GHz, 68W) * * Offered through', 'HP ProLiant BL685c server blade includes: Processor : Up to four Quad-Core AMD Opteron™ 8300 Series processors Supports up to 2.3 GHz, 1 GHz HyperTransport™; 512KB Level 2 cache memory per core; 2MB Level 3 cache Up to four', 'AMD Opteron processors Model 8220 (2.8 GHz) (2)', 'AMD Opteron processor Model 8347 HE (1.9 GHz, 55W ACP) † Low Power', 'AMD Opteron processor Model 8218 HE (2.6 GHz, 68W) Option Kit, FIO Base 440936-L21', 'AMD Opteron processor Model 8222 (3.0 GHz, 95W)', 'AMD Opteron processor Model 8218 (2.6 GHz, 95W) Processor Option Kit 409613-B21', 'AMD Opteron processor Model 8218 HE (2.6 GHz, 68W), FIO Base 440936-L21', 'AMD Opteron processor Model 8216 (2.4 GHz, 95W) Option Kit, FIO Base 409612-L21', 'AMD Opteron 8300 series processors are 64-bit, quad-core, and support AMD Virtualization™.', 'AMD Opteron processor Model 8218 (2.6 GHz, 95W)']",HP ProLiant BL685c Server Blade c04140692.pdf
['2356'],"['HP DL385 G5 Carrier-Grade Model AH410A Processor(s) (1) Quad-Core AMD Opteron 2356 Processor (2.3 GHz, 75 Watts)', 'AMD Opteron Processor 2356 (2.3 GHz, 75 Watts) Kit 449774-L21']",HP ProLiant DL385 Generation 5 (G5) Carrier Grade Server c04282577.pdf
"['L5430', 'E5405', 'L5410', 'X5460', 'L5420', 'E5472', 'X5272', 'X5470', 'X5472', 'E5430', 'X5482', 'E5462']","['Quad-Core Intel® Xeon® processor X5470 (3.33 GHz, 120W, 1333MHz FSB) 495612-B21', 'Intel® Xeon® processor E5405 (2.00 GHz, 80W, 1333MHz FSB), FIO', 'Intel® Xeon® processor E5462 (2.80 GHz, 80W, 1600MHz FSB), FIO', 'Quad-Core Intel® Xeon® processor L5430 (2.60 GHz, 50W, 1333MHz FSB) 495616-B21', 'Intel® Xeon® processor X5470 (3.33 GHz, 120W, 1333MHz FSB)', 'Intel® Xeon® processor L5430 (2.60 GHz, 50W, 1333MHz FSB)', 'Quad-Core Intel® Xeon® processor L5420 (2.50 GHz, 50W, 1333MHz FSB) 495479-B21', 'Quad-Core Intel® Xeon® processor E5405 (2.00 GHz, 80W, 1333MHz FSB) 446077-B21', 'Intel® Xeon® processor E5472 (3.00 GHz, 80W, 1600MHz FSB), FIO', 'Intel® Xeon® processor E5430 (2.66 GHz, 80W, 1333MHz FSB)', 'Quad-Core Intel® Xeon® processor E5430 (2.66 GHz, 80W, 1333MHz FSB) 446079-B21', 'Intel® Xeon® processor E5405 (2.00 GHz, 80W, 1333MHz FSB)', 'Intel® Xeon® processor L5410 (2.33 GHz, 50W, 1333MHz FSB)', 'Intel® Xeon® processor E5430 (2.66 GHz, 80 W, 1333 MHz FSB), FIO', 'Intel® Xeon® processor E5472 (3.00 GHz, 80W, 1600MHz FSB) 448365-B21', 'Intel® Xeon® processor X5472 (3.00 GHz, 120W, 1600MHz FSB), FIO', 'Intel® Xeon® processor X5272 (3.40 GHz, 80W, 1600MHz FSB) 448371-B21', 'Intel® Xeon® processor L5420 (2.50 GHz, 50W, 1333MHz FSB), FIO', 'Quad-Core Intel® Xeon® processor X5460 (3.16 GHz, 120W, 1333MHz FSB) 446085-B21', 'Intel® Xeon® processor L5410 (2.33 GHz, 50W, 1333MHz FSB), FIO', 'Intel® Xeon® processor E5462 (2.80 GHz, 80W, 1600MHz FSB)', 'Quad-Core Intel® Xeon® processor L5410 (2.33 GHz, 50W, 1333MHz Front Side Bus) 448369-B21', 'Intel® Xeon® processor L5420 (2.50 GHz, 50W, 1333MHz FSB)', 'Intel® Xeon® processor X5272 (3.40 GHz, 80W, 1600MHz FSB)', 'Quad-Core Intel® Xeon® processor X5472 (3.00 GHz, 120W, 1600MHz FSB) 462465-B21', 'Intel® Xeon® processor E5472 (3.00 GHz, 80W, 1600MHz FSB)', 'Intel® Xeon® processor X5470 (3.33 GHz, 120W, 1333MHz FSB), FIO', 'Quad-Core Processors Quad-Core Intel® Xeon® processor X5482 (3.20 GHz, 120W, 1600MHz FSB) 495614-B21', 'Intel® Xeon® processor L5430 (2.60 GHz, 50W, 1333MHz FSB), FIO', 'Intel® Xeon® processor X5460 (3.16 GHz, 120W, 1333MHz FSB), FIO', 'Intel® Xeon® processor X5472 (3.00 GHz, 120W, 1600MHz FSB)', 'Intel® Xeon® processor X5460 (3.16 GHz, 120W, 1333MHz FSB)', 'Dual-Core Intel® Xeon® processors 5200 sequence with 6 MB Level 2 cache Intel® 5400', 'Quad-Core Intel® Xeon® processor E5462 (2.80 GHz, 80W, 1600MHz FSB) 463076-B21']",HP ProLiant DL160 Generation 5p (G5p) c04284309.pdf
"['X3210', '440', '3065', 'E3120', 'E2160', 'X3320', 'E4600', 'X3350', '420', 'X3370', 'E3110', 'X3360', '3075', 'X3220', 'E4400', 'X3330']","['Intel® Xeon® processor E3110 (3.0GHz, 6MB L2 cache, 65 Watts, 1333MHz FSB) Dual-Core', 'Dual-Core Intel® Xeon® E3120 processor FIO Kit 493241-L21', 'Intel® Xeon® processor X3370, X3360 and X3350.8 MB L2 Cache', 'Intel® Xeon® processor X3210 (2.13GHz, 8MB L2 cache, 95 Watts, 1066MHz FSB)', 'Quad-Core Intel® Xeon® X3220 processor FIO Kit 450141-L21', 'Xeon X3320 and', 'Intel® Core™2 processor E4400 (2.0GHz, 2MB L2 cache, 800MHz FSB)', 'DL320R05p E3110 1GB  Processor(s) Dual-Core Intel® Xeon® processor E3110 (3.0GHz, 6MB L2 cache, 65 Watts, 1333MHz FSB)', 'Quad-Core Intel® Xeon® X3350 processor FIO Kit 463432-L21', 'Quad-Core Intel® Xeon® X3370 processor FIO Kit 493247-L21', 'Quad-Core Processors Quad-Core Intel® Xeon® X3210 processor FIO Kit 455031-L21', 'Intel® Xeon® processor X3350 (2.66GHz, 12MB L2 cache, 95 Watts, 1333MHz FSB)', 'Intel® Xeon® processor X3220 and X3210.6 MB L2 Cache', 'Intel® Celeron® processor 420 (1.60GHz, 512KB L2 cache, 800MHz FSB)', 'Intel® Core2 processor E4600 and E4400.1 MB L2 Cache', 'Intel® Xeon® Processor X3330 (2.66 GHz, 6MB L2 cache, 95 Watts, 1333MHz FSB)', 'Intel® Xeon® processor X3330, X3320, E3120, and E3110.4 MB L2 Cache', 'Dual-Core Intel® Xeon® E3110 processor FIO Kit 463436-L21', 'Quad-Core Intel® Xeon® X3330 processor FIO Kit 493243-L21', 'Xeon X3210 Models 2 GB (2 x 1 GB) Maximum', 'Quad-Core Intel® Xeon® X3360 processor FIO Kit 489909-L21', 'Intel® Celeron® processor 440 (2.00GHz, 512KB L2 cache, 800MHz FSB)', 'Intel® Xeon® Processor E3120 (3.16 GHz, 6MB L2 cache, 65 Watts, 1333MHz FSB)', 'Intel® Pentium® processor E2160 (1.80GHz, 1MB L2 cache, 800MHz FSB)', 'Intel® Xeon® processor X3360 (2.83GHz, 12MB L2 cache, 95 Watts, 1333MHz Front Side Bus (FSB))', 'Dual-Core Intel® Xeon® 3065 processor FIO Kit 450143-L21', 'Xeon® processor 3065 (2.33GHz, 4MB L2 Cache, 65 Watts, 1333MHz FSB)', 'Intel® Core™2 processor E4600 (2.4GHz, 2MB L2 cache, 800MHz FSB)', 'Intel® Xeon® processor X3320 (2.50GHz, 6MB L2 cache, 95 Watts, 1333MHz FSB) Quad-Core', 'Quad-Core Intel® Xeon® X3320 processor FIO Kit 463434-L21', 'Intel® Xeon® processor X3210 (2.13GHz, 8MB L2 Cache, 95 Watts, 1066MHz FSB) Dual-Core Processors Dual-Core', 'Xeon® processor 3075 (2.66GHz, 4MB L2 cache, 65 Watts, 1333MHz FSB) Dual-Core', 'Intel® Xeon® processor 3075 and 3065.2 MB L2 Cache', 'Xeon® processor X3220 (2.4GHz, 8MB L2 cache, 95 Watts, 1066MHz FSB)', 'Dual-Core Processors Dual-Core Intel® Pentium E2160 Processor FIO Kit 455035-L21']",HP ProLiant DL320 Generation 5p c04282572.pdf
nan,nan,HPE Edgeline EL8000t Converged Edge System a00073755enw.pdf
"['E5-2650v3', 'E5-2609v3', 'E5-2630v3', 'E5-2660v3', 'E5-2670v3', 'E5-2695v4', 'E5-2620v4', 'E5-2603v3', 'E5-2683v4', 'E5-2697v4', 'E5-2630Lv3', 'E5-2620v3', 'E5-2680v3', 'E5-2640v3']","['Intel® Xeon® E5-2680v3 (2.3GHz/10-core/25MB/105W) FIO Processor Kit', 'HPE DL360 Gen9 Intel® Xeon® E5-2650v3 (2.3GHz/10-core/25M B/105W) FIO Processor Kit', 'Intel® Xeon® E5-2695v4 (2.1GHz/18-core/45MB/120W) FIO Processor Kit', 'Intel® Xeon® E5-2670v3 (2.3GHz/12-core/30MB/120W) FIO Processor Kit', 'Intel® Xeon® E5-2620v3 (2.4GHz/6-core/15MB/85W) FIO Processor Kit', 'Intel® Xeon® E5-2620v4 (2.1GHz/8-core/20MB/85W) FIO Processor Kit', 'Intel® Xeon® E5-2660v3 (2.6GHz/10-core/25MB/105W) FIO Processor Kit', 'Intel® Xeon® E5-2683v4 (2.1GHz/16-core/40MB/120W) FIO Processor Kit', 'Intel® Xeon® E5-2640v3 (2.6GHz/8-core/20MB/90W) FIO Processor Kit', 'Intel® Xeon® E5-2609v3 (1.9GHz/6-core/15MB/85W) FIO Processor Kit', 'Intel® Xeon® E5-2697v4 (2.3GHz/18-core/45MB/145W) FIO Processor Kit', 'HPE DL360 Gen9 Intel® Xeon® E5-2603v3 (1.6GHz/6-core/15MB/85W) FIO Processor Kit', 'Intel® Xeon® E5-2630v3 (2.4GHz/8-core/20MB/85W) FIO Processor Kit', 'Intel® Xeon® E5-2630Lv3 (1.8GHz/8-core/20MB/55W) FIO Processor Kit']",HPE ProLiant DL360 Generation9 (Gen9) Carrier Grade Supplement c04772926.pdf
nan,"['Intel Xeon 3.0 GHz processor standard (up to 2 supported)', 'Intel Xeon 3.0 GHz-1MB Processor Option Kit 358344-B21', 'Intel Xeon 3.4 GHz-1MB Processor Option Kit 370513-B21', 'Intel Xeon 3.2 GHz-1MB Processor Option Kit 358345-B21', 'Intel Xeon 3.0 GHz, 3.2 GHz, or 3.4 GHz processors (dual processor capability) with 1MB level 2 cache standard. Processors include support for Hyper-Threading and Extended', 'Xeon Processor 3.0 GHz/800-1MB L2', 'Xeon Processor 3.2 GHz/800-1MB L2']",HP ProLiant ML350 Generation 4 (G4) c04284115.pdf
"['9320', '9340', '9350', '9310']","['Itanium 9350 (1.73GHz/4-core/24MB/185W) Processor Kit AH388A Dual-Core Processors', 'Itanium® 9340 (1.6GHz/4-core/20MB/185W); up to 1.73 GHz with Turbo) Processor', 'Itanium 9320 (1.33GHz/4-core/16MB/155W) Processor Kit AH386A', 'Itanium® 9310 (1.6GHz/2-core/10MB/130W) Processor', 'Itanium 9350 (1.73GHz/4-core/24MB/185W) Processor Kit AH3 88A Dual-Core Processor', 'Intel® Itanium® 9320 (1.33GHz/4-core/16MB/155W); up to 1.46 GHz with Turbo) Processor', 'Intel® Itanium® 9300 Series processors \uf0b7', 'Itanium® 9350 (1.73GHz/4-core/24MB/185W; up to 1.86 GHz with Turbo) Processor Dual-Core Processor', 'Itanium 9310 (1.6GHz/2-core/10MB/130W) Processor Kit AH385A', 'Itanium 9340 (1.6GHz/4-core/20MB/185W) Processor Kit AH387A', 'HP Ultrium Tape Blade produ ct descriptions were modified, Intel Itanium Processor 9310 was added']",HP Integrity BL890c i2 Server Blade c04111605.pdf
nan,nan,HP ProLiant Lights Out 100 c04283133.pdf
"['E5-4650L', 'E5-4617', 'E5-4603', 'E5-4610', 'E5-4657L', 'E5-4610v2', 'E5-4627v2', 'E5-4650', 'E5-4640v2', 'E5-4607v2', 'E5-4603v2', 'E5-4620', 'E5-4650v2', 'E5-4607', 'E5-4600v2', 'E5-4657Lv2', 'E5-4620v2', 'E5-4640']","['Intel® Xeon® E5-4603 v2 (2.2GHz/4-core/10MB/95W) Processor E5-4600 series Processors Eight-Core Processors', 'Intel® Xeon® E5-4650 v2 (2.4GHz/10-core/25MB/95W) Processor', 'Intel Xeon E5-4610v2 (2.3GHz/8-core/16MB/95W) Processor Kit 734187-B21', 'Intel Xeon E5-4607v2 (2.6GHz/6-core/15MB/95W) Processor Kit 734189-B21', 'HP DL560 Gen8 Intel Xe on E5-4650L (2.6GHz/8-core/20MB/115W) FIO Processor Kit 686832-L21', 'Intel® Xeon® E5-4603 v2 (2.2GHz/4-core/10MB/6.4GT-s QPI/95W) Proces sors', 'Intel® Xeon® E5-4600 v2 series Processors Pre Configured Models Standard', 'Intel® Xeon® E5-4600 series v2 Processor Models Supported', 'Intel Xeon E5-4640 (2.4GHz/8-core/20MB/95W) Processor Kit 686845-B21', 'Intel® Xeon® E5-4603 (2.0GHz/4-core/10MB/95W)', 'Intel Xeon E5-4607v2 (2.6GHz/6-core/15MB/95W) FIO Processor Kit 734189-L21', 'Intel® Xeon® E5-4650L (2.6GHz/8-core/20MB/115W) Pr ocessor', 'Intel® Xeon® E5-4640 (2.4GHz/8-core/20MB/95W) Processor', 'Intel Xeon E5-4640 v2 128GB (16x 8GB) 704GB (32x16GB, 2x8GB) 1.5TB (48 x 32GB)', 'Intel® Xeon® E5-4610 v2 (2.3GHz/8-core/16MB/95W) Processor Six-Core Processors', 'Intel Xeon E5-4650 (2.7GHz/8-core/20MB/130W) Processor Kit 686843-B21', 'Intel® Xeon® E5-4610 (2.4GHz/6-core/15MB/95W) Pro cessor', 'Intel Xeon E5-4650v2 (2.4GHz/10-core/25MB/95W) FIO Processor Kit 734180-L21', 'Intel Xeon E5-4610v2 (2.3GHz/8-core/16MB/95W) FIO Processor Kit 734187-L21', 'Intel Xeon E5-4603v2 (2.2GHz/4-core/10MB/95W) FIO Processor Kit 734191-L21', 'Intel® Xeon® E5-4600 series Processor Models Supported', 'Intel Xeon E5-4650L (2.6GHz/8-core/20MB/115W) Processor Kit 686832-B21', 'Intel® Hyper Threading supported on all processors except E5-4617 and E5-4627 v2. E5-4600 v2 series Processors Twelve-Core Processors', 'Intel® Xeon® E5-4607 (2.2GHz/6-core/12MB/95W) Processor Four-Core Processors', 'Intel® Xeon® E5-4610 v2 (2.3GHz/8-core/16MB/7.2GT-s QPI/95W) Processors', 'Intel Xeon E5-4610 32GB (4x 8GB) 736GB (44x16GB, 4x4GB) 1.5TB (48 x 32GB)', 'HP DL560 Gen8 Intel Xeon E5-4657Lv2 (2.4GHz/12-core/30MB/115W) Processor Kit 734193-B21', 'Intel Xeon E5-4627v2 (3.3GHz/8-core/16MB/130W) FIO Processor Kit 734195-L21', 'Intel Xeon E5-4620 (2.2GHz/8-core/16MB/95W) Processor Kit 686847-B21', 'HP ProLiant DL560 Gen8 E5-4657Lv2 64GB-R P420i/ZM SFF 1200W PS US Server/S-Buy 734613-S01 Processor(s) (2) Intel® Xeon® E5-4657L v2 (2.4GHz/12-core/3 0MB/ 115W) Processors', 'Intel® Xeon® E5-4627 v2 (3.3GHz/8-core/2 0MB/ 130W) Processors', 'Intel Xeon E5-4603 (2.0GHz/4-core/10M B/95W) Processor Kit', 'Intel Xeon E5-4650v2 (2.4GHz/10-core/25MB/95W) Processor Kit 734180-B21', 'Intel® Xeon® Processors E5-4600 to E5-4600 v2. Please contact', 'HP DL560 Gen8 Intel Xeon E5-4607 (2.2GHz/6-core/12MB/95W) Processor Kit 686824-B21', 'Intel® Xeon® E5-4607 v2 (2.6GHz/6-core/15MB/95W) P rocessor Four-Core Processors', 'Intel Xeon E5-4640v2 (2.2GHz/10-core/20MB/95W) FIO Processor Kit 734182-L21', 'Intel Xeon E5-4620v2 (2.6GHz/8-core/20MB/95W) FIO Processor Kit 734185-L21', 'Intel Xeon E5-4640 64GB (8x 8GB) 704GB (40x16GB, 4x8GB) 1.5TB (48 x 32GB)', 'Intel® Xeon® E5-4617 (2.9GHz/6-core/15MB/130W) Processor', 'Intel® Xeon® E5-4640 v2 (2.2GHz/10-core/20MB/95W) Processor Eight-Core Processors', 'HP DL560 Gen8 Intel Xeon E5-4657Lv2 (2.4GHz/12-core/30MB/115W) FIO Processor Kit 734193-L21', 'Intel® Hyper Threading supported on all processors except E5-4617 and E5-4627 v2. E5-4600 v2 series Processors Twelve-Core Pro cessors', 'Intel® Xeon® E5-4620 (2.2GHz/8-core/16MB/95W) Processor Six-Core Processors', 'Intel Xeon E5-4617 (2.9GHz/6-core/15MB/130W) Processor Kit 686834-B21', 'Intel Xeon E5-4640v2 (2.2GHz/10-core/20MB/95W) Processor Kit 734182-B21', 'Intel® Xeon® E5-4640 v2 (2.2GHz/10-core/20MB/8.0GT-s QPI/95W) Processors', 'Intel Xeon E5-4620v2 (2.6GHz/8-core/20MB/95W) Processor Kit 734185-B21', 'Intel Xeon E5-4603 v2 16GB (2x 8GB) 752GB (4 6x16GB, 1x4GB) 1.5TB (48 x 32GB) Pre Configured Models Standard', 'Intel Xeon E5-4610 (2.4GHz/6-core/15MB/95W) Processor Kit 686822-B21', 'Intel® Xeon® E5-4620 v2 (2.6GHz/8-core/20MB/95W) Processor', 'Intel Xeon E5-4610 v2 32GB (4x 8GB) 736GB (44x16GB, 4x4GB) 1.5TB (48 x 32GB)', 'Intel Xeon E5-4603v2 (2.2GHz/4-core/10 MB/95W) Processor Kit 734191-B21', 'Memory Bandwidth and Capacity on Intel® Xeon® E5-4600 v2 series Processors DIMM Type Registered DIMMS (RDIMMs) Load Reduced (LRDIMMs) DIMM Rank Single Ra nk (1R) Dual Rank (2R) Quad Rank', 'Intel® Xeon® E5-4650 (2.7GHz/8-core/20MB/130W) Processor', 'Intel Xeon E5-4627v2 (3.3GHz/8-core/16MB/130W) Processor Kit 734195-B21', 'Intel® Xeon® E5-4627 v2 (3.3GHz/8-core/16MB/130W) Processor']",HPE ProLiant DL560 Gen8  North America version QuickSpecs_20260522113315.pdf
nan,"['Intel Pentium II processor 450 MHz', 'Intel Pentium II processors 450 MHz', 'Intel Pentium III Xeon 6/450-512-KB Processor Option Kit 328254-B21', 'Intel Pentium II processor 400 MHz', 'Intel Pentium III Xeon 6/400-512-KB Processor Option Kit 328234-B21', 'Intel Pentium III Xeon 6/400 1-MB Processor Option Kit 328235-B21', 'Pentium II Xeon processors 400-MHz', 'Intel Pentium II processors 400 MHz', 'Intel Pentium III Xeon 6/450-1-MB Processor Option Kit 328255-B21']",Compaq ProLiant 6500 Pentium II Xeon Models c04282155.pdf
"['6515P', '6736P', '6745P', '6760P', '6747P', '6787P', '6730P', '6505P', '6507P', '6517P', '6530P', '6737P', '6527P', '6740P', '6520P']","['Intel Xeon 6517P 3.2GHz 16-core 190W Processor for HPE P74507-B21', 'Intel Xeon 6505P 2.2GHz 12-core 150W Processor for HPE P74503-B21', 'Intel Xeon 6745P 3.1GHz 32-core 300W Processor for HPE P81591-B21', 'Intel Xeon 6740P 2.1GHz 48-core 270W Processor for HPE P73829-B21', 'Intel® Xeon 6® Processors support DDR5 support maximum memory speed of 6400 MT/s @ 1 DIMMs per channel (DPC) and 5200 MT/S @ 2DPC. System Management', 'Intel Xeon 6530P 2.3GHz 32-core 225W Processor for HPE P74571-B21', 'Intel Xeon 6736P 2.0GHz 36-core 205W Processor for HPE P74575-B21', 'Intel Xeon 6787P 2.0GHz 86-core 350W Processor for HPE P73837-B21', 'Intel Xeon 6760P 2.2GHz 64-core 330W Processor for HPE P73832-B21', 'Intel Xeon 6527P 3.0GHz 24-core 255W Processor for HPE P74570-B21', 'Intel Xeon 6515P 2.3GHz 16-core 150W Processor for HPE P74506-B21', 'Intel Xeon 6730P 2.5GHz 32-core 250W Processor for HPE P74573-B21', 'Intel Xeon 6737P 2.9GHz 32-core 270W Processor for HPE P74576-B21', 'Intel Xeon 6520P 2.4GHz 24-core 210W Processor for HPE P74568-B21', 'Intel Xeon 6747P 2.7GHz 48-core 330W Processor for HPE P73831-B21', 'Intel Xeon 6507P 3.5GHz 8-core 150W Processor for HPE P74504-B21']",HPE Synergy 480 Gen12 Compute Module QuickSpecs_20260522113033.pdf
"['EPYC-7702', 'EPYC-7402', 'EPYC-7302', 'EPYC-7452', 'EPYC-7502', 'EPYC-7352', 'EPYC-7282']","['7702 2.0GHz 64 256MB 200W 3200MT/s', 'AMD EPYC 7282 (2.4GHz/16-core/120W) FIO Processor Kit R3X10A', '7352 2.3GHz 24 128MB 155W 3200MT/s', '7502 2.5GHz 32 128MB 180W /200W 3200MT/s', '7282 2.8GHz 16 64MB 120/150 W 3200MT/s', 'AMD EPYC 7352 (2.3GHz/24-core/155W) FIO Processor Kit R3X08A', 'AMD EPYC 7302 (2.8GHz/16-core/155-180W) FIO Processor Kit R3X09A', 'AMD EPYC™ 7000 Series Model Base Clock Speed Cores L3 Cache Default TDP / TDP DDR4 Maximum Speed', 'AMD EPYC 7452 (2.3GHz/32-core/155-180W) FIO Processor Kit R3X06A', '7452 2.3GHz 32 128MB 155/180W 3200MT/s', 'AMD EPYC 7502 (2.5GHz/32-core/180-200W) FIO Processor Kit R3X05A', '7402 2.8GHz 24 128MB 180W /200W 3200MT/s', 'AMD EPYC 7402 (2.8GHz/24-core/180-200W) FIO Processor Kit R3X07A', '7302 3.0GHz 16 128MB 155/180 W 3200MT/s', 'HPE Apollo 35 v2 AMD EPYC 7702 (2.0GHz/64-core/200W) FIO Processor Kit R3X04A']",HPE Apollo 35 v2 System a00073542enw.pdf
