file_name,processor,processor_description
Compaq AlphaServer ES40 Cluster Base System c04282282.pdf,['ALPHA-21264'],['Alpha 21264 667-MHz processor']
Compaq AlphaServer ES40 Compaq AlphaStation ES40 (Linux Ready) c04282380.pdf,['ALPHA-21264'],"['• Alpha 21264 6/500-MHz CPU', '67/667-MHz CPU with 8-MB L2', '68/833-MHz CPU with 8-MB L2', 'Alpha 21264 6/500-MHz CPU, 67/667-MHz CPU, or 68/833-MHz CPU', '8-MB MB L2 Dual Data Rate Backup Cache (67/667-MHz CPU, 68/833-MHz CPU)', 'SMP upgrade includes one 6/500-MHz CPU with 4-MB cache', 'SMP upgrade includes one 67/667-MHz CPU with 8-MB cache', 'SMP upgrade includes one 68/833-MHz CPU with 8-MB cache', 'EV67 667-MHz CPU', 'EV68 833-MHz CPU', 'EV6 500-MHz CPU']"
Compaq AlphaServer ES40 Compaq AlphaStation ES40 c04282237.pdf,['ALPHA-21264'],"['Alpha 21264 68/833-MHz CPU with 8-MB L2 Dual Data Rate Cache', 'Alpha 21264 68/833-MHz CPU', '8-MB L2 Dual Data Rate Backup Cache (68/833-MHz CPU)', 'SMP upgrade, includes one 67/667-MHz CPU with 8-MB cache and Tru64 UNIX', 'SMP upgrade, includes one 67/667-MHz CPU with 8-MB cache and OpenVMS', 'SMP upgrade, includes one 68/833-MHz CPU with 8-MB cache and Tru64 UNIX', 'SMP upgrade, includes one 68/833-MHz CPU with 8-MB cache and OpenVMS', 'EV67 667-MHz CPU', 'EV68 833-MHz CPU', 'EV6 500-MHz CPU']"
Compaq AlphaServer ES45 (Linux Ready) c04282839.pdf,['ALPHA-21264C'],"['• Alpha 21264C 68/1000-MHz CPU', 'Alpha 21264C 68/1000-MHz CPU', 'SMP upgrade, includes one 68/1000-MHz CPU with 8-MB cache']"
Compaq AlphaServer ES45 Certified Configuration for Oracle9i Real Application Clusters on TruCluster Server Software c04284693.pdf,"['ALPHA-21264', 'ALPHA-21264C']","['Dual Rackmounted Compaq AlphaServer ES45 systems, Alpha 21264 1000-MHz CPUs, 1-GB memory, Clustered, Tru64 UNIX®', 'Configured and fully tested with two AlphaServer ES45 Model 2 systems, each with EV68 1000-MHz processor', 'Alpha 21264C 68/1000-MHz CPU', 'One Alpha 21264 833-MHz CPU']"
Compaq AlphaServer GS140 c04282158.pdf,['ALPHA-21264A'],"['• Processor module with two Alpha', '8-MB ECC L2 onboard cache per 6/700-MHz CPU', 'supports hardware partitions with a CPU upgrade (dual Alpha 21264A 6/700-MHz CPU modules), Operating', '• Dual Alpha 21264A 6/700-MHz CPU module']"
Compaq AlphaServer GS160 (731 MHz) c04282280.pdf,['ALPHA-21264'],"['• One 731-MHz CPU module; up to', 'Alpha 21264 processors', 'Up to 16 Alpha 21264 6/731-MHz CPUs (one CPU per module)', 'Base system with operating system license (either OpenVMS or Tru64 UNIX) and one 731-MHz CPU module', 'GS160/320 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, Tru64 UNIX', 'GS160/320 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, OpenVMS', 'GS160/320 CCoD SMP CPU, includes one 6/731-MHz CPU module with 4-MB on-board', 'One Alpha 21264 6/731-MHz CPU module', 'GS160/320 CCoD SMP CPU, includes: one 6/731-MHz CPU module with 4-MB on-']"
Compaq AlphaServer GS320 (731 MHz) c04282281.pdf,['ALPHA-21264'],"['• One 731-MHz CPU module; up to', '32 731-MHz Alpha 21264', 'Up to 32 Alpha 21264 6/731-MHz CPUs (one CPU per module)', 'Base system with operating system license (either OpenVMS or Tru64 UNIX) and one 731-MHz CPU module', 'GS160/320 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, Tru64 UNIX', 'GS160/320 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, OpenVMS', 'GS160/320 CCoD SMP CPU, includes one 6/731-MHz CPU module with 4-MB on-board', 'One Alpha 21264 6/731-MHz CPU module', 'GS160/320 CCoD SMP CPU, includes: one 6/731-MHz CPU module with 4-MB on-']"
Compaq AlphaServer GS60E c04282194.pdf,['ALPHA-21264A'],"['• Processor module with two Alpha', '8-MB ECC L2 onboard cache per 6/700-MHz CPU', '• Options include processor module with Alpha microprocessors, SMP extension license, and end-user product', '• Dual Alpha 21264A 6/700-MHz CPU module', '• The AlphaServer 8200 to AlphaServer GS60E upgrade includes one dual Alpha 21264A 700-MHz CPU']"
Compaq AlphaServer GS80 (731 MHz) c04282289.pdf,['ALPHA-21264'],"['• One 731-MHz CPU module; up to', 'eight 731-MHz Alpha 21264', 'Up to 8 Alpha 21264 6/731-MHz CPUs (one CPU per module)', 'Base system with operating system license (either OpenVMS or Tru64 UNIX) and one 731-MHz CPU module', 'GS80 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, Tru64 UNIX', 'GS80 SMP upgrade CPU, 6/731-MHz with 4-MB on-board cache, OpenVMS', 'GS80 CCoD SMP CPU, includes one 6/731-MHz CPU module with 4-MB on-board cache,', 'One Alpha 21264 6/731-MHz CPU module', 'GS80 CCoD SMP CPU, includes one 6/731-MHz CPU module with 4-MB on-board', 'GS80 CCoD SMP CPU, includes: one 6/731-MHz CPU module with 4-MB on-board']"
Compaq AlphaServer TS10 c04282917.pdf,['ALPHA-21264A'],"['Alpha 600-MHz CPU with 2-MB onboard ECC cache', 'Alpha 21264A 600-MHz processor', 'Main logic board containing Alpha CPU, EV6, 600 MHz']"
Compaq AlphaServer TS20TS40 c04283866.pdf,['ALPHA-21264'],"['Alpha 21264 68/833-MHz CPU with 8-MB L2 Dual Data Rate Cache', 'Alpha 21264 68/833-MHz CPU', 'SMP upgrade, includes one 68/833-MHz CPU with 8-MB cache and Tru64 UNIX SMP license', 'SMP upgrade, includes one 68/833-MHz CPU with 8-MB cache and OpenVMS SMP license']"
Compaq AlphaStation DS20E (Linux Ready) c04282395.pdf,['ALPHA-21264'],"['Alpha 21264 667-MHz or 833-MHz processor (dual processor capability)', 'Alpha 21264 667-MHz or 833-MHz processor', 'One 6/667-MHz or 833-MHz CPU included, one additional CPU is supported; second CPU must be same speed.']"
Compaq AlphaStation XP1000 (Linux Ready) c04282444.pdf,['ALPHA-21264A'],"['(EV67) 667-MHz CPU with 64-KB', 'Alpha 21264A (EV67) 667-MHz CPU', '500-MHz to 667-MHz CPU upgrade available', 'XP1000 500-MHz CPU upgrade to XP1000 667-MHz CPU for Tru64 UNIX, OpenVMS,']"
Compaq AlphaStation XP1000 c04282135.pdf,['ALPHA-21264A'],"['21264A (EV67) 667-MHz CPU', 'Alpha 21264A (EV67) 667-MHz CPU', '500-MHz to 667-MHz CPU upgrade available', 'XP1000 500-MHz CPU upgrade to XP1000 667-MHz CPU for Tru64 UNIX, OpenVMS, and']"
Compaq NeoServer 150 c04324508.pdf,['CELERON-500'],"['storage: up to 26 GB with removable automatic backup and a powerful 500-MHz Intel Celeron® Processor.  Compaq knows servers and small businesses.', 'Powerful 500-MHz Intel Celeron Processor will take your business to tomorrow.', 'Intel Celeron 500/66 Processor']"
Compaq ProLiant 1600 Pentium II Models c04282136.pdf,"['PENTIUM-350', 'PENTIUM-400', 'PENTIUM-450', 'PENTIUM-512K']","['Pentium II Models', '• Intel Pentium® II processor 350,', '400 or 450 MHz (dual processor', '7. Intel Pentium II Processor Cage', 'Intel Pentium II processor 450 MHz', 'Intel Pentium II processor 400 MHz', 'Intel Pentium II processor 350 MHz (Tower form factor only)', 'Intel Pentium II processor 450-MHz Network Controller', 'Intel Pentium II processor 400-MHz Network Controller', 'Intel Pentium II processor 350-MHz Network Controller', '6/600 Pentium III 512K Processor Option Kit 153555-B21', '6/550 Pentium III 512K Processor Option Kit 124779-B21', '6/500 Pentium III 512K Processor Option Kit 401268-B21', '6/450 Pentium II 512K Processor Option Kit 313618-B21', '6/400 Pentium II 512K Processor Option Kit 313612-B21', '6/350 Pentium II 512K Processor Option Kit 313611-B21', '(When using hot plug Wide Ultra2/Ultra3 Drives in the Pentium II Models, the Wide', '(The ProLiant 1600 Pentium II Models ship standard with one Compaq 10/100 TX PCI UTP', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21']"
Compaq ProLiant 1600 Pentium III Models c04282137.pdf,"['PENTIUM-500', 'PENTIUM-512K', 'PENTIUM-550', 'PENTIUM-600']","['Pentium III Models', '• Intel Pentium III processor 600', 'Intel Pentium III processor 600 MHz', 'Intel Pentium III processor 550 MHz', 'Intel Pentium III processor 500 MHz', '6/600 Pentium III 512K Processor Option Kit 153555-B21', '6/550 Pentium III 512K Processor Option Kit 124779-B21', '6/500 Pentium III 512K Processor Option Kit 401268-B21', '(When using hot plug Wide Ultra SCSI-3 Drives in the Pentium III Models, Duplexing Drive', '((When using hot plug Wide Ultra SCSI-3 Drives in the Pentium III Models, Duplexing Drive', '(The ProLiant 1600 Pentium III Models ship standard with one Compaq 10/100 TX PCI UTP', '(The ProLiant 1600 Pentium III Models ship standard with one Compaq 10/100 TX PCI', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable, 3′ 110936-B24', 'CPU to Server Console Cable, 6′ 110936-B25', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21']"
Compaq ProLiant 1850R Pentium II Models c04282148.pdf,"['PENTIUM-400', 'PENTIUM-450']","['Pentium II Models', '• Intel Pentium II 450 or 400 MHz', 'Intel Pentium II processor 450 MHz', 'Intel Pentium II processor 400 MHz', 'Intel Pentium II processor 400-MHz', 'Intel Pentium II 6/450 Processor Option Kit 313618-B21', 'Intel Pentium II 6/400 Processor Option Kit 313612-B21', '(The ProLiant 1850R Pentium II Models ship standard with one Compaq 10/100 TX PCI UTP', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20’ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21', 'Compaq ProLiant 1850R Pentium II']"
Compaq ProLiant 1850R Pentium III c04282149.pdf,"['PENTIUM-500', 'PENTIUM-512K', 'PENTIUM-550', 'PENTIUM-600']","['Pentium III Models', '• Intel Pentium III 600 MHz', '• Intel Pentium III 600 MHz, 550', 'MHz or 500 MHz processor (dual', 'Intel Pentium III processor 600 MHz', 'Intel Pentium III processor 550 MHz', 'Intel Pentium III processor 500 MHz', '6/600 Pentium III 512K Processor Option Kit 153555-B21', '6/550 Pentium III 512K Processor Option Kit 124779-B21', '6/500 Pentium III 512K Processor Option Kit 401268-B21', '(The ProLiant 1850R Pentium III Models can support up to six 1″ Ultra2/Ultra3 hot plug', '(The ProLiant 1850R Pentium III Models can support the same Wide-Ultra SCSI-3 drive', '(The ProLiant 1850R Pentium III Models ship standard with one Compaq 10/100 TX PCI', '(The ProLiant 1850R Pentium III Models ship standard with one Compaq 10/100 TX PCI UTP', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable, 3′ 110936-B24', 'CPU to Server Console Cable, 6′ 110936-B25', 'CPU to Server Console Cable (Plenum Rated) 20’ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21', 'Compaq ProLiant 1850R Pentium III']"
Compaq ProLiant 3000 4-Way Xeon Server Upgrade QuickSpecs_20260522113423.pdf,['PENTIUM-500'],"['4-Way Xeon Server Upgrade', 'The Compaq ProLiant 3000 now offers a 4-way Xeon upgrade designed to provide customers with additional', 'investment protection.  The Compaq ProLiant 3000 4-way Xeon Upgrade kit offers customers the ability to', 'migrate to four-way Pentium III Xeon processing power to meet the increasing requirements of their growing', '• The Compaq ProLiant 3000 4-way Xeon Upgrade kit include the hardware and software components', 'necessary to successfully complete the server upgrade. In each ProLiant 3000 4-way Xeon Upgrade kit, you', 'EISA cards. These cards will not be supported on the 4-way Pentium III Xeon upgrade.', '4-way Xeon  Upgrade.', 'The ProLiant 3000 4-way Xeon upgrade requires EDO DIMMs.  Supported memory kits include:', 'The upgraded ProLiant 3000 will support 4-way Pentium III Xeon processor configurations.  Pentium III Xeon', 'complete list of supported Pentium III Xeon processor option kits..', 'Pentium III Xeon 6/500 2MB Processor Option Kit 117812-B21', 'Pentium III Xeon 6/500 1MB Processor Option Kit 117811-B21', 'Pentium III Xeon 6/500 512K Processor Option Kit 117810-B21', '4-way Xeon Upgrade 100675-B21']"
Compaq ProLiant 3000 Pentium II Models QuickSpecs_20260522113418.pdf,"['PENTIUM-400', 'PENTIUM-450']","['Pentium II Models', '• Intel Pentium II processor 400', '7. Intel Pentium II Processor', '2.  Intel Pentium II Processor', 'Intel Pentium II processor 450 MHz', 'Intel Pentium II processor 400 MHz', 'Intel Pentium II processor 450-MHz', 'Intel Pentium II processor 400-MHz', '(1)Intel Pentium II processor 450-MHz Network Controller', '(1)Intel Pentium II processor 400-MHz Network Controller', 'ProLiant 3000 6/450 512K Processor Kit 313618-B21', 'ProLiant 3000 6/400 512K Processor Kit 313612-B21', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21']"
Compaq ProLiant 3000 Pentium III QuickSpecs_20260522113644.pdf,"['PENTIUM-500', 'PENTIUM-512K', 'PENTIUM-550', 'PENTIUM-600']","['Pentium III Models', '• Intel Pentium® III 600 MHz', '• Intel Pentium III 600-MHz, 550-', 'MHz or 500-MHz processor (dual', '7. Intel Pentium III Processor', '2. Intel Pentium III Processors', 'Intel Pentium III processor 600 MHz', 'Intel Pentium III processor 550 MHz', 'Intel Pentium III processor 500 MHz', '6/600 Pentium III 512K Processor Option Kit 153555-B21', '6/550 Pentium III 512K Processor Option Kit 124779-B21', '6/500 Pentium III 512K Processor Option Kit 401268-B21', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable, 3′ 110936-B24', 'CPU to Server Console Cable, 6′ 110936-B25', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21']"
Compaq ProLiant 400 Pentium II Models c04283528.pdf,"['PENTIUM-450', 'PENTIUM-512K']","['Pentium II Models', '• Intel Pentium II 450-MHz', 'Intel Pentium II 450-MHz processor', 'Compaq ProLiant 400 Pentium', 'Intel Pentium II 450-MHz', '6/450 Pentium II 512K Processor Option Kit 313618-B21', 'Compaq ProLiant 400 Pentium II']"
Compaq ProLiant 400 Pentium III Models c04283636.pdf,"['PENTIUM-500', 'PENTIUM-550', 'PENTIUM-600']","['Pentium III Models', '• Intel Pentium® III 600 MHz  and', '550 MHz Processor', '• Intel Pentium III 600 MHz, 550', 'MHz or 500 MHz processor', 'Intel Pentium III processor 600 MHz', 'Intel Pentium III processor 550 MHz', 'Intel Pentium III processor 500 MHz', 'Intel Pentium III 600 MHz', 'Intel Pentium III 550 MHz', 'Intel Pentium III 500 MHz', 'Compaq ProLiant 400 Pentium III']"
Compaq ProLiant 5500 Pentium II Xeon Models c04282152.pdf,"['PENTIUM-400', 'PENTIUM-450']","['Pentium II Xeon Models', '8. Intel Pentium II Xeon Processor', '11. Intel Pentium II Xeon Processor', '• One to four Intel Pentium II', 'Xeon™ processor 400 or 450', 'Intel Pentium II Xeon processor 450 MHz', 'Intel Pentium II Xeon processor 400 MHz', 'Upgradable to 450-MHz, 2-MB level 2 writeback cache per processor (450-MHz models)', 'http://www.compaq.com/products/servers/proliant5500-xeon', 'http://www.compaq.com/products/server/proliant5500r-xeon', '(2) Intel Pentium II Xeon 450-MHz Network Controller', '(1) Intel Pentium II Xeon 450-MHz Network Controller', '(2) Intel Pentium II Xeon 400-MHz Network Controller', '(1) Intel Pentium II Xeon 400-MHz Network Controller', 'ProLiant 5500 6/450 2-MB Processor Option Kit 328978-B21', 'ProLiant 5500 6/450 1-MB Processor Option Kit 328977-B21', 'ProLiant 5500 6/450 512K Processor Option Kit 328976-B21', 'ProLiant 5500 6/400 1-MB Processor Option Kit 328718-B21', 'ProLiant 5500 6/400 512K Processor Option Kit 328717-B21', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21', 'Pentium III Models shipped with the Wide-']"
Compaq ProLiant 5500 Pentium III Xeon Models c04283485.pdf,"['PENTIUM-500', 'PENTIUM-550']","['Compaq ProLiant 5500 Pentium III Xeon Models', '• Intel Pentium® III XeonTM  550', '• One to four Intel Pentium III Xeon', '500 MHz or 550 MHz processor', 'Intel Pentium III Xeon processor 550 MHz', 'Intel Pentium III Xeon processor 500 MHz', 'Upgradeable to 550 MHz 2-MB level 2 writeback cache per processor (550 MHz models)', 'Upgradeable to 500 MHz 2-MB level 2 writeback cache per processor (500 MHz models)', 'http://www.compaq.com/products/servers/proliant5500-xeon or', 'http://www.compaq.com/products/servers/proliant5500r-xeon', '(2) Intel Pentium III Xeon 550 MHz', '(1) Intel Pentium III Xeon 550 MHz', '(2) Intel Pentium III Xeon 500 MHz', '(1) Intel Pentium III Xeon 500 MHz', 'Pentium III Xeon 6/550 2MB Processor Option Kit', 'Pentium III Xeon 6/550 1MB Processor Option Kit', 'Pentium III Xeon 6/550 512K Processor Option Kit', 'Pentium III Xeon 6/500 2MB Processor Option Kit', 'Pentium III Xeon 6/500 1MB Processor Option Kit', 'Pentium III Xeon 6/500 512K Processor Option Kit', 'When installing a server with Pentium III Xeon processors running at speeds of 550 MHz or greater in', 'CPU to Server Console Cable, 12′ 110936-B21', 'CPU to Server Console Cable, 20′ 110936-B22', 'CPU to Server Console Cable, 40′ 110936-B23', 'CPU to Server Console Cable, 3′ 110936-B24', 'CPU to Server Console Cable, 6′ 110936-B25', 'CPU to Server Console Cable (Plenum Rated) 20′ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40′ 149364-B21', 'Compaq ProLiant 5500 Pentium III Xeon All Models']"
Compaq ProLiant 6000 Pentium II Xeon Models c04282153.pdf,"['PENTIUM-400', 'PENTIUM-450']","['Pentium II Xeon Models', '6. Intel Pentium II Xeon processor (up to four)', 'Pentium II Xeon™ processors', 'Intel Pentium II Xeon processor 450 MHz', 'Intel Pentium II Xeon processor 400 MHz', 'http://www.compaq.com/products/servers/proliant6000-xeon.', '(2) Intel Pentium II processors 450 MHz Network Controller', '(1) Intel Pentium II processor 450 MHz Network Controller', '(2) Intel Pentium II processors 400 MHz Network Controller', '(1) Intel Pentium II processor 400 MHz Network Controller', 'Intel Pentium II Xeon processor 6/450-2MB Option Kit 328814-B21', 'Intel Pentium II Xeon processor 6/450-1MB Option Kit 328813-B21', 'Intel Pentium II Xeon processor 6/450-512K Option Kit 328812-B21', 'Intel Pentium II Xeon processor 6/400-1MB Option Kit 312286-B21', 'Intel Pentium II Xeon processor 6/400-512K Option Kit 312285-B21', 'CPU to Server Console Cable, 12’ 110936-B21', 'CPU to Server Console Cable, 20’ 110936-B22', 'CPU to Server Console Cable, 40’ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20’ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21', 'Compaq ProLiant 6000 Pentium II', 'protect customers’ investments by providing superior expansion and in-chassis upgrades to Intel’s Pentium II or', 'III Xeon processing power.  This investment protection is now available in three innovative server upgrade kits.', 'The Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000 Pentium II or III Xeon Server Upgrade kits offer', 'customers upgradability to four-way SMP Intel Pentium II or III Xeon processing power, and for the ultimate in', 'scalability the Compaq ProLiant 7000 will offer an eight-way Pentium II or III Xeon Server Upgrade kit.', 'For information on the Compaq Pentium II or III Xeon Server Upgrade Programs and available rebates in certain', 'Pentium II Xeon vs. Pentium III Xeon', 'Pentium II Xeon ships standard in the 400-MHz and 450-MHz models.', 'Pentium III Xeon ships standard in the 500-MHz models.', 'The industry’s first Pentium II or III Xeon in-chassis server upgrade was designed to maximize your investment', 'the Pentium II / III  Xeon Server Upgrade.  These components include your existing ProLiant server chassis and', 'from Pentium Pro to Pentium II or III Xeon processor technology.  In many Compaq tests Pentium II or III Xeon', 'processor performance was nearly twice the performance of Pentium Pro processors.  Visit the Compaq web site', 'The Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000 Pentium II or III Xeon Server Upgrade kits', 'components in each ProLiant Pentium II or III Xeon Server Upgrade kit include new host, I/O and memory', 'you can pay for after-hours installation if you need ASAP deployment.  To schedule a Pentium II or III Xeon', 'ProLiant 6000 Pentium II / III', 'Xeon Server Upgrade 312134-B21', 'All Pentium Pro and Pentium II models of the ProLiant 6000, ProLiant 6500, and ProLiant 7000', 'All operating systems currently supported by the ProLiant 6000 Pentium II or III Xeon server will be supported by', 'the Pentium II / III Xeon Server Upgrade.', 'Pentium II or III Xeon Server Upgrade.  Supported memory kits include:', 'ProLiant 6000, ProLiant 6500, and ProLiant 7000 upgraded servers will support 4-way Pentium II or III Xeon', 'processor configurations.  Neither Pentium II, nor III Xeon processors are included in the Pentium II or III Xeon', 'Pentium II and III Xeon processor option kits for the Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000']"
Compaq ProLiant 6000 Pentium III Xeon Models c04283640.pdf,['PENTIUM-500'],"['Pentium III Xeon Models', 'Intel Pentium III Xeon processor (up to four)', 'Pentium III XeonTM processors', 'Intel Pentium III Xeon processor 500 MHz', 'Compaq ProLiant Pentium III', 'Xeon Models', 'http://www.compaq.com/products/servers/proliant6000-xeon.', '(2) Intel Pentium III Xeon 500-MHz', '(1) Intel Pentium III Xeon 500-MHz', 'Intel Pentium III Xeon processor 6/500-2MB Option Kit 117652-B21', 'Intel Pentium III Xeon processor 6/500-1MB Option Kit 117651-B21', 'Intel Pentium III Xeon processor 6/500-512K Option Kit 117650-B21', 'CPU to Server Console Cable, 12’ 110936-B21', 'CPU to Server Console Cable, 20’ 110936-B22', 'CPU to Server Console Cable, 40’ 110936-B23', 'CPU to Server Console Cable (Plenum Rated) 20’ 149363-B21', 'CPU to Server Console Cable (Plenum Rated) 40’ 149364-B21', 'Compaq ProLiant 6000 Pentium III', 'protect customers’ investments by providing superior expansion and in-chassis upgrades to Intel’s Pentium II or', 'III Xeon processing power.  This investment protection is now available in three innovative server upgrade kits.', 'The Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000 Pentium II or III Xeon Server Upgrade kits offer', 'customers upgradability to four-way SMP Intel Pentium II or III Xeon processing power, and for the ultimate in', 'scalability the Compaq ProLiant 7000 will offer an eight-way Pentium II or III Xeon Server Upgrade kit.', 'For information on the Compaq Pentium II or III Xeon Server Upgrade Programs and available rebates in certain', 'Pentium II Xeon vs. Pentium III Xeon', 'Pentium II Xeon ships standard in the 400-MHz and 450-MHz models.', 'Pentium III Xeon ships standard in the 500-MHz models.', 'The industry’s first Pentium II or III Xeon in-chassis server upgrade was designed to maximize your investment', 'the Pentium II / III  Xeon Server Upgrade.  These components include your existing ProLiant server chassis and', 'from Pentium Pro to Pentium II or III Xeon processor technology.  In many Compaq tests Pentium II or III Xeon', 'processor performance was nearly twice the performance of Pentium Pro processors.  Visit the Compaq web site', 'The Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000 Pentium II or III Xeon Server Upgrade kits include', 'components in each ProLiant Pentium II or III Xeon Server Upgrade kit include new host, I/O and memory', 'can pay for after-hours installation if you need ASAP deployment.  To schedule a Pentium II or III Xeon Server', 'ProLiant 6000 Pentium II / III', 'Xeon Server Upgrade 312134-B21', 'All Pentium Pro and Pentium II models of the ProLiant 6000, ProLiant 6500, and ProLiant 7000', 'All operating systems currently supported by the ProLiant 6000 Pentium II or III Xeon server will be supported by', 'the Pentium II / III Xeon Server Upgrade.', 'Pentium II or III Xeon Server Upgrade.  Supported memory kits include:', 'ProLiant 6000, ProLiant 6500, and ProLiant 7000 upgraded servers will support 4-way Pentium II or III Xeon', 'processor configurations.  Neither Pentium II, nor III Xeon processors are included in the Pentium II or III Xeon', 'Pentium II and III Xeon processor option kits for the Compaq ProLiant 6000, ProLiant 6500, and ProLiant 7000']"
