file_name,has_processor,has_processor_description,issue_category,note
HP Integrity rx7640 Server c04140246.pdf,True,True,OK,
HP Integrity rx8620 Server c04283091.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx8640 Server c04140723.pdf,True,True,OK,
HP ProLiant BL10e Generation 2 (G2) Server Blade c04373936.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant BL10e e Class Server Blade c04282846.pdf,True,True,OK,
HP ProLiant BL20p Generation 3 (G3) Server Blade c04283141.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant BL20p Generation 4 (G4) Server Blade c04284199.pdf,True,True,OK,
HP ProLiant BL20p p Class Server Blade c04282922.pdf,True,True,OK,
HP ProLiant BL25p Generation G2 Server Blade c04282519.pdf,True,True,OK,
HP ProLiant BL25p Server Blade c04140789.pdf,True,True,OK,
HP ProLiant BL260c Generation 5 Server Blade c04284279.pdf,True,True,OK,
HP ProLiant BL280c Generation 6 (G6) Server Blade c04282684.pdf,True,True,OK,
HP ProLiant BL2x220c Generation 6 (G6) Server Blade c04282720.pdf,True,True,OK,
HP ProLiant BL2x220c Generation 7 (G7) Server Blade c04123318.pdf,True,True,OK,
HP ProLiant BL30p Server Blade c04140252.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant BL35p Server Blade c04140790.pdf,True,True,OK,
HP ProLiant BL40p Server Blade c04140778.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant BL45p Generation 2 Server Blade c04123397.pdf,True,True,OK,
HP ProLiant BL45p Server Blade c04140791.pdf,True,True,OK,
HP ProLiant BL460c Carrier-Grade Server Blade QuickSpecs_20260522113604.pdf,True,True,OK,
HP ProLiant BL460c Gen8 Server Blade  North America version QuickSpecs_20260522113439.pdf,True,True,OK,
HP ProLiant BL460c Gen8 Server Blade QuickSpecs_20260522113311.pdf,True,True,OK,
HP ProLiant BL460c Generation 5 Server Blade QuickSpecs_20260522113437.pdf,True,True,OK,
HP ProLiant BL460c Generation 6 Server Blade c04282677.pdf,True,True,OK,
HP ProLiant BL460c Generation 7 (G7) Server Blade c04123266.pdf,True,True,OK,
HP ProLiant BL460c Generation 8 (Gen8) Server Blade  Carrier Grade Supplement North America version c04155284.pdf,True,True,OK,
HP ProLiant BL460c Generation 8 Gen8 Server Blade- Carrier Grade Supplement QuickSpecs_20260522113650.pdf,True,True,OK,
HP ProLiant BL460c Server Blade QuickSpecs_20260522113616.pdf,True,True,OK,
HP ProLiant BL465c Generation 5 (G5) Server Blade c04282611.pdf,True,True,OK,
HP ProLiant BL465c Generation 6 (G6) Server Blade c04282585.pdf,True,True,OK,
HP ProLiant BL465c Generation 7 (G7) Server Blade c04282742.pdf,True,True,OK,
HP ProLiant BL465c Server Blade c04140691.pdf,True,True,OK,
HP ProLiant BL480c Server Blade c04111737.pdf,True,True,OK,
HP ProLiant BL490c Generation 6 (G6) Server Blade c04284368.pdf,True,True,OK,
HP ProLiant BL490c Generation 7 (G7) Server Blade c04284877.pdf,True,True,OK,
HP ProLiant BL495c Generation 5 (G5) Server Blade c04284312.pdf,True,True,OK,
HP ProLiant BL495c Generation 6 (G6) Server Blade c04284443.pdf,True,True,OK,
HP ProLiant BL620c Gen7 Server Blade North America version c04128279.pdf,True,True,OK,
HP ProLiant BL620c Gen7 Server Blade c04123319.pdf,True,True,OK,
HP ProLiant BL620c Generation 7 G7 Server Blade Carrier Grade Supplement  North America version QuickSpecs_20260522113646.pdf,True,True,OK,
HP ProLiant BL620c Generation 7 G7 Server Blade Carrier Grade Supplement QuickSpecs_20260522113305.pdf,True,True,OK,
HP ProLiant BL680c Gen7 Server Blade North America version c04128189.pdf,True,True,OK,
HP ProLiant BL680c Gen7 Server Blade c04123320.pdf,True,True,OK,
HP ProLiant BL680c Generation 5 Server Blade QuickSpecs_20260522113508.pdf,True,True,OK,
HP ProLiant BL685c Gen7 Server Blade North America version c04128286.pdf,True,True,OK,
HP ProLiant BL685c Gen7 Server Blade c04123328.pdf,True,True,OK,
HP ProLiant BL685c Generation 5 Server Blade c04282648.pdf,True,True,OK,
HP ProLiant BL685c Server Blade c04140692.pdf,True,True,OK,
HP ProLiant DL120 Generation 6 c04123273.pdf,True,True,OK,
HP ProLiant DL120 Generation 7 (G7) c04284550.pdf,True,True,OK,
HP ProLiant DL140 Generation 2 c04283235.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL140 Generation 3 c04282505.pdf,True,True,OK,
HP ProLiant DL140 c04283080.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL145 Generation 2 (G2) c04283236.pdf,True,True,OK,
HP ProLiant DL145 Generation 3 (G3) c04282537.pdf,True,True,OK,
HP ProLiant DL145 c04123428.pdf,True,True,OK,
HP ProLiant DL160 Generation 5 (G5) c04284265.pdf,True,True,OK,
HP ProLiant DL160 Generation 5p (G5p) c04284309.pdf,True,True,OK,
HP ProLiant DL160 Generation 6 c04284374.pdf,True,True,OK,
HP ProLiant DL160 Generation 8 (Gen8) North America version c04128229.pdf,True,True,OK,
HP ProLiant DL165 Generation 5 (G5) c04284276.pdf,True,True,OK,
HP ProLiant DL165 Generation 5p (G5p) c04284335.pdf,True,True,OK,
HP ProLiant DL165 Generation 6 (G6) c04284455.pdf,True,True,OK,
HP ProLiant DL165 Generation 7 (G7) c04282737.pdf,True,True,OK,
HP ProLiant DL180 Generation 5 c04284266.pdf,True,True,OK,
HP ProLiant DL180 Generation 6 c04284378.pdf,True,True,OK,
HP ProLiant DL180 c04282600.pdf,True,True,OK,
HP ProLiant DL185 Generation 5 c04284263.pdf,True,True,OK,
HP ProLiant DL2000 Multi Node Server c04154349.pdf,True,True,OK,
HP ProLiant DL320 Generation 2 QuickSpecs_20260522113221.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL320 Generation 3 (G3) c04283226.pdf,True,True,OK,
HP ProLiant DL320 Generation 4 (G4) c04282465.pdf,True,True,OK,
HP ProLiant DL320 Generation 5 (G5) c04282521.pdf,True,True,OK,
HP ProLiant DL320 Generation 5p c04282572.pdf,True,True,OK,
HP ProLiant DL320 Generation 6 c04282694.pdf,True,True,OK,
HP ProLiant DL320e Generation 8 (Gen8) North America version c04383197.pdf,True,True,OK,
HP ProLiant DL320e Generation 8 Gen8 QuickSpecs_20260522113233.pdf,True,True,OK,
HP ProLiant DL320s c04282520.pdf,True,True,OK,
HP ProLiant DL360 Generation 3 c04283959.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL360 Generation 4 QuickSpecs_20260522113701.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL360 Generation 4p G4p QuickSpecs_20260522113457.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL360 Generation 5 (G5) c04284194.pdf,True,True,OK,
HP ProLiant DL360 Generation 6 (G6) Carrier Grade Supplement c04284886.pdf,True,True,OK,
HP ProLiant DL360 Generation 6 (G6) c04284365.pdf,True,True,OK,
HP ProLiant DL360 Generation 7 c04284501.pdf,True,True,OK,
HP ProLiant DL360e Generation 8 (Gen8) North America version c04128167.pdf,True,True,OK,
HP ProLiant DL360e Generation 8 Gen8 QuickSpecs_20260522113435.pdf,True,True,OK,
HP ProLiant DL360p Generation 8 (Gen8) Carrier Grade Supplement c04155282.pdf,True,True,OK,
HP ProLiant DL360p Generation 8 (Gen8) North America version c04128242.pdf,True,True,OK,
HP ProLiant DL360p Generation 8 Gen8 QuickSpecs_20260522113717.pdf,True,True,OK,
HP ProLiant DL365 Generation 5 (G5) c04282612.pdf,True,True,OK,
HP ProLiant DL365 c04282518.pdf,True,True,OK,
HP ProLiant DL380 Generation 3 G3 Packaged Cluster with MSA500 QuickSpecs_20260522113431.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL380 Generation 3 c04282946.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL380 Generation 4 Packaged Cluster with Modular Smart Array 1000 c04284125.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL380 Generation 5 (G5) c04282492.pdf,True,True,OK,
HP ProLiant DL380 Generation 6 (G6) c04282582.pdf,True,True,OK,
HP ProLiant DL380 Generation 7 G7 QuickSpecs_20260522113720.pdf,True,True,OK,
HP ProLiant DL380e Generation 8 (Gen8) North America version c04128166.pdf,True,True,OK,
HP ProLiant DL380e Generation 8 (Gen8) c04123218.pdf,True,True,OK,
HP ProLiant DL380p Generation 8 (Gen8) Carrier Grade Supplement North America version c04155283.pdf,True,True,OK,
HP ProLiant DL380p Generation 8 (Gen8) Carrier Grade Supplement c04154335.pdf,True,True,OK,
HP ProLiant DL380p Generation8 (Gen8) North America version c04128241.pdf,True,True,OK,
HP ProLiant DL380p Generation8 Gen8 QuickSpecs_20260522113550.pdf,True,True,OK,
HP ProLiant DL385 Generation 5 (G5) Carrier Grade Server c04282577.pdf,True,True,OK,
HP ProLiant DL385 Generation 5 c04284274.pdf,True,True,OK,
HP ProLiant DL385 Generation 5p (G5p) c04284319.pdf,True,True,OK,
HP ProLiant DL385 Generation 6 (G6) c04284448.pdf,True,True,OK,
HP ProLiant DL385 Generation 7 North America version c04286663.pdf,True,True,OK,
HP ProLiant DL385 Generation 7 QuickSpecs_20260522113534.pdf,True,True,OK,
HP ProLiant DL385 Packaged Cluster with MSA500 G2 c04282508.pdf,True,True,OK,
HP ProLiant DL385 QuickSpecs_20260522113414.pdf,True,True,OK,
HP ProLiant DL560 c04283003.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL580 Gen7  North America version QuickSpecs_20260522113401.pdf,True,True,OK,
HP ProLiant DL580 Gen7 QuickSpecs_20260522113523.pdf,True,True,OK,
HP ProLiant DL580 Generation 4 (G4) c04282490.pdf,True,True,OK,
HP ProLiant DL580 Generation 5 (G5) c04282606.pdf,True,True,OK,
HP ProLiant DL585 Gen7 QuickSpecs_20260522113338.pdf,True,True,OK,
HP ProLiant DL585 Generation 2 (G2) c04282524.pdf,True,True,OK,
HP ProLiant DL585 Generation 5 c04282646.pdf,True,True,OK,
HP ProLiant DL585 Generation 6 c04282699.pdf,True,True,OK,
HP ProLiant DL585 c04283148.pdf,True,True,OK,
HP ProLiant DL740 c04282979.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL760 Generation 2 (G2) c04373935.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant DL785 Generation 5 (G5) c04284295.pdf,True,True,OK,
HP ProLiant DL785 Generation 6 (G6) c04284472.pdf,True,True,OK,
HP ProLiant DL980 Generation 7 (G7) North America version c04128191.pdf,True,True,OK,
HP ProLiant DL980 Generation 7 (G7) c04123323.pdf,True,True,OK,
HP ProLiant Lights Out 100 c04283133.pdf,False,False,REVIEW_NO_STRUCTURED_MATCH,Document mentions processor/CPU-family keywords but no line matched the structured description pattern (part number / GHz / family name). Needs manual check - may be a new/unhandled text format.
HP ProLiant ML10 Server North America version c04111262.pdf,True,True,OK,
HP ProLiant ML10 Server c04111408.pdf,True,True,OK,
HP ProLiant ML110 G2 c04283222.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP ProLiant ML110 Generation 3 (G3) c04283258.pdf,True,True,OK,
HP ProLiant ML110 Generation 4 (G4) c04282525.pdf,True,True,OK,
HP ProLiant ML110 Generation 5 (G5) c04282629.pdf,True,True,OK,
HP ProLiant ML110 Generation 6 (G6) c04282718.pdf,True,True,OK,
