server_name,server_url,failure_type,failure_reason,error_message,attempt_number,timestamp
ABIT- IP-95 Motherboard,https://www.kingston.com/en/memory/search/model/34623/abit-ip-95-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:15:19.554474+00:00
ABIT- AB9 QuadGT Motherboard,https://www.kingston.com/en/memory/search/model/34559/abit-ab9-quadgt-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:15:50.861263+00:00
ABIT- IB9 Motherboard,https://www.kingston.com/en/memory/search/model/34311/abit-ib9-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:17:52.491660+00:00
ABIT- NF-M2S Motherboard,https://www.kingston.com/en/memory/search/model/33779/abit-nf-m2s-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:18:23.723417+00:00
ABIT- NF-M2P Motherboard,https://www.kingston.com/en/memory/search/model/33766/abit-nf-m2p-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:20:30.099355+00:00
ABIT- IN9 32X-MAX Motherboard,https://www.kingston.com/en/memory/search/model/33550/abit-in9-32x-max-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:21:01.361735+00:00
ABIT- AW8D Motherboard,https://www.kingston.com/en/memory/search/model/29919/abit-aw8d-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:25:48.792941+00:00
ABIT- NV8 Motherboard,https://www.kingston.com/en/memory/search/model/25885/abit-nv8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:26:20.038766+00:00
ABIT- NF8-V Pro Motherboard,https://www.kingston.com/en/memory/search/model/25886/abit-nf8-v-pro-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:28:21.302220+00:00
ABIT- NI8-SLI GR Motherboard,https://www.kingston.com/en/memory/search/model/25196/abit-ni8-sli-gr-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:28:52.547561+00:00
ABIT- LP-80 Motherboard,https://www.kingston.com/en/memory/search/model/24317/abit-lp-80-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:30:53.893785+00:00
ABIT- LP-81 Motherboard,https://www.kingston.com/en/memory/search/model/24319/abit-lp-81-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:31:25.201036+00:00
ABIT- LG-80 Motherboard,https://www.kingston.com/en/memory/search/model/24321/abit-lg-80-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:33:26.484045+00:00
ABIT- NF8-V2 Motherboard,https://www.kingston.com/en/memory/search/model/24322/abit-nf8-v2-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:33:57.726081+00:00
ABIT- AA8-3rd Eye Motherboard,https://www.kingston.com/en/memory/search/model/19459/abit-aa8-3rd-eye-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:38:32.442937+00:00
ABIT- AA8 DuraMax Motherboard,https://www.kingston.com/en/memory/search/model/19207/abit-aa8-duramax-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:39:03.738197+00:00
ABIT- KV8 Motherboard,https://www.kingston.com/en/memory/search/model/19079/abit-kv8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:41:04.961205+00:00
ABIT- KV8 Pro Motherboard,https://www.kingston.com/en/memory/search/model/18500/abit-kv8-pro-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:41:36.081071+00:00
ABIT- KV8-MAX3 Motherboard,https://www.kingston.com/en/memory/search/model/16996/abit-kv8-max3-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:43:37.347872+00:00
ABIT- NF7-S (version 1.0) Motherboard,https://www.kingston.com/en/memory/search/model/16951/abit-nf7-s-version-1-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:44:08.643274+00:00
ABIT- NF7-S (version 2.0) Motherboard,https://www.kingston.com/en/memory/search/model/16960/abit-nf7-s-version-2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:46:09.904451+00:00
ABIT- KV7 Motherboard,https://www.kingston.com/en/memory/search/model/16549/abit-kv7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:46:41.127859+00:00
ABIT- KN8 Ultra Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25198/abit-kn8-ultra-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:51:35.668014+00:00
ABIT- KN8 SLI Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25199/abit-kn8-sli-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:52:06.897057+00:00
ABIT- IS7-E2G Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25200/abit-is7-e2g-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:54:08.126445+00:00
ABIT- AX8 (version 2.0) Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/25181/abit-ax8-version-2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:54:39.358184+00:00
ABIT- AL8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24052/abit-al8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:56:40.599929+00:00
ABIT- AL8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24053/abit-al8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:57:12.008449+00:00
ABIT- AW8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24054/abit-aw8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:59:13.226546+00:00
ABIT- AN8 V2.0 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/24056/abit-an8-v2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:59:44.448164+00:00
ABIT- GD8-M Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22710/abit-gd8-m-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:03:28.732921+00:00
ABIT- GD8-MV Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22712/abit-gd8-mv-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:03:59.969805+00:00
ABIT- GD8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22713/abit-gd8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:06:01.234258+00:00
ABIT- AN8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22716/abit-an8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:06:32.596992+00:00
ABIT- AN8-3rd Eye Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22717/abit-an8-3rd-eye-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:08:34.014350+00:00
ABIT- Fatal1ty AN8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19487/abit-fatal1ty-an8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:09:05.350510+00:00
ABIT- AN8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/22328/abit-an8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:11:06.532339+00:00
ABIT- AX8-3rd Eye Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/21634/abit-ax8-3rd-eye-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:11:37.786507+00:00
ABIT- AX8 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/20435/abit-ax8-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:15:00.426454+00:00
ABIT- SI-1Ns60 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/20046/abit-si-1ns60-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:15:31.751061+00:00
ABIT- AS8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19976/abit-as8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:17:33.051621+00:00
ABIT- AS8-3rd Eye Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19977/abit-as8-3rd-eye-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:18:04.445087+00:00
ABIT- AG8-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19628/abit-ag8-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:20:05.737924+00:00
ABIT- SI-2Ps Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19629/abit-si-2ps-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:20:37.277125+00:00
ABIT- WI-1P Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19500/abit-wi-1p-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:22:38.619742+00:00
ABIT- SI-Ns60 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/19488/abit-si-ns60-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:23:09.954275+00:00
ABIT- IB-11 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17430/abit-ib-11-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:27:29.272069+00:00
ABIT- AN7 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17236/abit-an7-motherboard,Navigation Error,Failed to open https://www.kingston.com/en/memory/search/discontinuedmodel/17236/abit-an7-motherboard,"Page.goto: Target page, context or browser has been closed",1,2026-08-25T12:27:55.239825+00:00
ABIT- VA-10 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17151/abit-va-10-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:29:56.473817+00:00
ABIT- VA-11 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17152/abit-va-11-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:30:27.663995+00:00
ABIT- BH-71 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17154/abit-bh-71-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:32:29.063492+00:00
ABIT- BD7III Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17155/abit-bd7iii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:33:00.308429+00:00
ABIT- KD7A Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17156/abit-kd7a-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:35:01.576026+00:00
ABIT- IS7-V Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/16998/abit-is7-v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:35:32.924473+00:00
ABIT- KT7E Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15662/abit-kt7e-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:39:30.978675+00:00
ABIT- SD7-533 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15663/abit-sd7-533-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:40:02.259694+00:00
ABIT- BH7-E Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15664/abit-bh7-e-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:42:03.536029+00:00
ABIT- IS7/IS7-E Motherboards,https://www.kingston.com/en/memory/search/discontinuedmodel/15665/abit-is7-is7-e-motherboards,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:42:34.810083+00:00
ABIT- BD7-E Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15666/abit-bd7-e-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:44:36.105828+00:00
ABIT- IS7-G Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15423/abit-is7-g-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:45:07.296345+00:00
ABIT- SI-1Ns Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15546/abit-si-1ns-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:47:08.553596+00:00
ABIT- IC7 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15421/abit-ic7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:47:39.830484+00:00
ABIT- KR7A-133 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13847/abit-kr7a-133-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:51:27.945120+00:00
ABIT- KD7-B/KD7-G/KD7-S Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13848/abit-kd7-b-kd7-g-kd7-s-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:51:59.363011+00:00
ABIT- VH6T Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13627/abit-vh6t-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:54:00.701312+00:00
ABIT- IT7-MAX2 V2.0 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13615/abit-it7-max2-v2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:54:32.042882+00:00
ABIT- KT7A Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13476/abit-kt7a-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:56:33.407245+00:00
ABIT- KT7A-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13477/abit-kt7a-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:57:04.793945+00:00
ABIT- WI-2P/WI-2Pa Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13438/abit-wi-2p-wi-2pa-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:59:06.085216+00:00
ABIT- SI-2P Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13439/abit-si-2p-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T12:59:37.411263+00:00
ABIT- BE7/BE7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13224/abit-be7-be7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:03:48.235610+00:00
ABIT- SR7-8X Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13225/abit-sr7-8x-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:04:19.456273+00:00
ABIT- SA7 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13226/abit-sa7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:06:20.510342+00:00
ABIT- KR7A Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13227/abit-kr7a-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:06:51.584915+00:00
ABIT- NV7m Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13228/abit-nv7m-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:08:52.819073+00:00
ABIT- TH7II-RAID/TH7II Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/13229/abit-th7ii-raid-th7ii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:09:23.900973+00:00
ABIT- AT7 MAX2 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/12911/abit-at7-max2-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:11:25.101687+00:00
ABIT- KD7/KD7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/12912/abit-kd7-kd7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:11:56.180139+00:00
ABIT- KG7/KG7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/11160/abit-kg7-kg7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:15:16.759202+00:00
ABIT- TH7/TH7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10777/abit-th7-th7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:15:47.902850+00:00
ABIT- BE6-II V2.0 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9777/abit-be6-ii-v2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:17:49.028252+00:00
ABIT- BX133-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9778/abit-bx133-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:18:20.122135+00:00
ABIT- BE6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9779/abit-be6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:20:21.387594+00:00
ABIT- BF6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9780/abit-bf6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:20:52.479814+00:00
ABIT- BP6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9781/abit-bp6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:22:53.622050+00:00
ABIT- ZM6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9782/abit-zm6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:23:24.820451+00:00
ABIT- LM6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9790/abit-lm6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:26:48.500392+00:00
ABIT- WB6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9791/abit-wb6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:27:19.666787+00:00
ABIT- BE6-II Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9792/abit-be6-ii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:29:20.846830+00:00
ABIT- CX6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9793/abit-cx6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:29:51.919781+00:00
ABIT- WX6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10138/abit-wx6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:31:53.113924+00:00
ABIT- KA7-100 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10139/abit-ka7-100-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:32:24.252808+00:00
ABIT- VP6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10140/abit-vp6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:34:25.389402+00:00
ABIT- VA6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10141/abit-va6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:34:56.523447+00:00
ABIT- KT7 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10154/abit-kt7-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:38:18.746734+00:00
ABIT- KT7-RAID Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10155/abit-kt7-raid-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T13:38:49.876237+00:00
ABIT- BD7III Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/17155/abit-bd7iii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:39:20.971411+00:00
ABIT- BE6-II Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/9792/abit-be6-ii-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:39:52.061524+00:00
ABIT- SI-1Ns Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/15546/abit-si-1ns-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:41:53.565052+00:00
ABIT- WX6 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/10138/abit-wx6-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:42:25.133830+00:00
ABIT- SI-1Ns60 Motherboard,https://www.kingston.com/en/memory/search/discontinuedmodel/20046/abit-si-1ns60-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',2,2026-08-25T13:44:26.523756+00:00
